學年別,縣市別,高級中等學校總計,高級中等學校國立,高級中等學校直轄市立,高級中等學校縣市立,高級中等學校私立,高級中學總計,高級中學國立,高級中學直轄市立,高級中學縣市立,高級中學私立,職業學校總計,職業學校國立,職業學校直轄市立,職業學校縣市立,職業學校私立,高級中等進修學校總計,高級中等進修學校國立,高級中等進修學校直轄市立,高級中等進修學校縣市立,高級中等進修學校私立
106學年,總計,511,142,123,33,213,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,新北市,62,1,30,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,臺北市,69,2,33,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,桃園市,34,10,8,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,臺中市,50,3,24,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,臺南市,47,22,4,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,高雄市,54,10,24,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,宜蘭縣,12,8,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,新竹縣,10,3,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,苗栗縣,19,7,-,4,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,彰化縣,24,14,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,南投縣,15,9,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,雲林縣,21,8,-,3,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,嘉義縣,10,3,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,屏東縣,19,9,-,4,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,臺東縣,10,6,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,花蓮縣,13,7,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,澎湖縣,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,12,4,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,新竹市,12,5,-,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,嘉義市,13,6,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,金門縣,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,506,156,106,33,211,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,新北市,61,1,29,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,臺北市,69,2,33,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,桃園市,33,10,7,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,臺中市,48,17,9,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,臺南市,47,22,4,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,高雄市,53,10,24,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,宜蘭縣,12,8,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,新竹縣,10,3,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,苗栗縣,19,7,-,4,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,彰化縣,24,14,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,南投縣,15,9,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,雲林縣,21,8,-,3,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,嘉義縣,10,3,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,屏東縣,19,9,-,4,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,臺東縣,10,6,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,花蓮縣,13,7,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,澎湖縣,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,12,4,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,新竹市,12,5,-,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,嘉義市,13,6,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,金門縣,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,506,156,106,33,211,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新北市,61,1,29,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺北市,69,2,33,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,桃園市,33,10,7,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺中市,48,17,9,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺南市,47,22,4,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,高雄市,53,10,24,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,宜蘭縣,12,8,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新竹縣,10,3,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,苗栗縣,19,7,-,4,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,彰化縣,24,14,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,南投縣,15,9,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,雲林縣,21,8,-,3,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,嘉義縣,10,3,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,屏東縣,19,9,-,4,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺東縣,10,6,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,花蓮縣,13,7,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,澎湖縣,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,基隆市,12,4,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新竹市,12,5,-,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,嘉義市,13,6,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,金門縣,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,503,155,99,38,211,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,新北市,60,1,29,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,臺北市,69,2,33,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,臺中市,48,17,9,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,臺南市,48,22,4,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,高雄市,52,9,24,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,宜蘭縣,11,8,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,桃園縣,33,10,-,7,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,新竹縣,9,3,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,苗栗縣,19,7,-,4,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,彰化縣,24,14,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,南投縣,15,9,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,雲林縣,21,8,-,3,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,嘉義縣,10,3,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,屏東縣,19,9,-,4,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,臺東縣,9,6,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,花蓮縣,13,7,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,澎湖縣,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,12,4,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,新竹市,12,5,-,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,嘉義市,14,6,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,金門縣,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,-,-,-,-,-,344,80,81,37,146,155,75,17,-,63,223,82,27,4,110
102學年,新北市,-,-,-,-,-,42,1,23,-,18,16,-,5,-,11,31,-,16,-,15
102學年,臺北市,-,-,-,-,-,50,2,26,-,22,17,-,7,-,10,24,1,5,-,18
102學年,臺中市,-,-,-,-,-,39,9,9,-,21,9,8,-,-,1,22,10,1,-,11
102學年,臺南市,-,-,-,-,-,32,12,4,-,16,16,10,-,-,6,23,13,-,-,10
102學年,高雄市,-,-,-,-,-,34,6,19,-,9,18,3,5,-,10,19,2,5,-,12
102學年,宜蘭縣,-,-,-,-,-,6,3,-,1,2,5,5,-,-,-,7,6,-,1,-
102學年,桃園縣,-,-,-,-,-,26,6,-,7,13,7,4,-,-,3,17,5,-,-,12
102學年,新竹縣,-,-,-,-,-,8,3,-,1,4,1,-,-,-,1,6,1,-,-,5
102學年,苗栗縣,-,-,-,-,-,12,4,-,4,4,7,3,-,-,4,7,2,-,-,5
102學年,彰化縣,-,-,-,-,-,13,5,-,5,3,11,9,-,-,2,15,12,-,-,3
102學年,南投縣,-,-,-,-,-,9,4,-,1,4,6,5,-,-,1,7,6,-,-,1
102學年,雲林縣,-,-,-,-,-,13,3,-,2,8,7,5,-,-,2,6,3,-,1,2
102學年,嘉義縣,-,-,-,-,-,6,2,-,2,2,4,1,-,-,3,3,1,-,-,2
102學年,屏東縣,-,-,-,-,-,12,4,-,4,4,8,5,-,-,3,8,3,-,-,5
102學年,臺東縣,-,-,-,-,-,5,3,-,1,1,4,3,-,-,1,4,3,-,1,-
102學年,花蓮縣,-,-,-,-,-,8,3,-,2,3,5,4,-,-,1,6,4,-,-,2
102學年,澎湖縣,-,-,-,-,-,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-
102學年,基隆市,-,-,-,-,-,8,2,-,4,2,4,2,-,-,2,5,3,-,-,2
102學年,新竹市,-,-,-,-,-,10,3,-,3,4,2,2,-,-,-,6,2,-,1,3
102學年,嘉義市,-,-,-,-,-,8,2,-,-,6,6,4,-,-,2,6,4,-,-,2
102學年,金門縣,-,-,-,-,-,1,1,-,-,-,1,1,-,-,-,1,1,-,-,-
102學年,連江縣,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,-,-,-,-,-,340,87,73,34,146,155,79,13,-,63,224,87,18,4,115
101學年,新北市,-,-,-,-,-,40,8,15,-,17,16,4,1,-,11,31,5,11,-,15
101學年,臺北市,-,-,-,-,-,50,2,26,-,22,17,-,7,-,10,20,1,1,-,18
101學年,臺中市,-,-,-,-,-,39,9,9,-,21,9,8,-,-,1,23,10,1,-,12
101學年,臺南市,-,-,-,-,-,33,12,4,-,17,16,10,-,-,6,24,13,-,-,11
101學年,高雄市,-,-,-,-,-,34,6,19,-,9,18,3,5,-,10,19,2,5,-,12
101學年,宜蘭縣,-,-,-,-,-,6,3,-,1,2,5,5,-,-,-,7,6,-,1,-
