學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
105學年,屏東縣,3570,1385,2185,44,9,35,-,-,-,3520,1374,2146,6,2,4,1627,628,999,-,-,-,-,-,-,1558,604,954,69,24,45
105學年,臺東縣,1498,567,931,72,18,54,-,-,-,1416,545,871,10,4,6,668,249,419,-,-,-,-,-,-,668,249,419,-,-,-
105學年,花蓮縣,1864,619,1245,58,15,43,-,-,-,1740,597,1143,66,7,59,915,353,562,-,-,-,-,-,-,915,353,562,-,-,-
105學年,澎湖縣,586,225,361,-,-,-,-,-,-,586,225,361,-,-,-,290,132,158,-,-,-,-,-,-,290,132,158,-,-,-
105學年,基隆市,1440,409,1031,-,-,-,-,-,-,1389,398,991,51,11,40,667,193,474,-,-,-,-,-,-,667,193,474,-,-,-
105學年,新竹市,2099,302,1797,167,35,132,-,-,-,1868,260,1608,64,7,57,1024,238,786,-,-,-,-,-,-,1013,233,780,11,5,6
105學年,嘉義市,1121,289,832,56,13,43,-,-,-,1065,276,789,-,-,-,721,222,499,-,-,-,-,-,-,721,222,499,-,-,-
105學年,金門縣,415,130,285,-,-,-,-,-,-,415,130,285,-,-,-,199,88,111,-,-,-,-,-,-,199,88,111,-,-,-
105學年,連江縣,99,36,63,-,-,-,-,-,-,99,36,63,-,-,-,56,30,26,-,-,-,-,-,-,56,30,26,-,-,-
104學年,總計,97368,28478,68890,722,170,552,60982,16748,44234,33784,11199,22585,1880,361,1519,50394,15711,34683,-,-,-,33039,9650,23389,16890,5860,11030,465,201,264
104學年,新北市,14519,3932,10587,-,-,-,14128,3859,10269,-,-,-,391,73,318,6531,1828,4703,-,-,-,6531,1828,4703,-,-,-,-,-,-
104學年,臺北市,9878,2434,7444,102,22,80,9246,2324,6922,-,-,-,530,88,442,5345,1473,3872,-,-,-,5296,1452,3844,-,-,-,49,21,28
104學年,桃園市,9078,2394,6684,-,-,-,8986,2375,6611,-,-,-,92,19,73,5516,1617,3899,-,-,-,5498,1603,3895,-,-,-,18,14,4
104學年,臺中市,11795,3215,8580,63,22,41,11457,3133,8324,-,-,-,275,60,215,6131,1869,4262,-,-,-,6123,1866,4257,-,-,-,8,3,5
104學年,臺南市,7236,2164,5072,146,39,107,6988,2105,4883,-,-,-,102,20,82,3742,1132,2610,-,-,-,3678,1101,2577,-,-,-,64,31,33
104學年,高雄市,10266,2968,7298,10,1,9,10177,2952,7225,-,-,-,79,15,64,5913,1800,4113,-,-,-,5913,1800,4113,-,-,-,-,-,-
104學年,宜蘭縣,2144,817,1327,-,-,-,-,-,-,2126,812,1314,18,5,13,1251,474,777,-,-,-,-,-,-,1251,474,777,-,-,-
104學年,新竹縣,2831,631,2200,-,-,-,-,-,-,2753,612,2141,78,19,59,1395,324,1071,-,-,-,-,-,-,1379,314,1065,16,10,6
104學年,苗栗縣,2762,867,1895,-,-,-,-,-,-,2762,867,1895,-,-,-,1292,425,867,-,-,-,-,-,-,1292,425,867,-,-,-
104學年,彰化縣,5386,1768,3618,-,-,-,-,-,-,5386,1768,3618,-,-,-,2757,990,1767,-,-,-,-,-,-,2757,990,1767,-,-,-
104學年,南投縣,2705,1014,1691,-,-,-,-,-,-,2650,997,1653,55,17,38,1386,533,853,-,-,-,-,-,-,1360,521,839,26,12,14
104學年,雲林縣,3415,1223,2192,-,-,-,-,-,-,3350,1207,2143,65,16,49,1582,614,968,-,-,-,-,-,-,1376,528,848,206,86,120
104學年,嘉義縣,2476,996,1480,-,-,-,-,-,-,2476,996,1480,-,-,-,1102,391,711,-,-,-,-,-,-,1102,391,711,-,-,-
104學年,屏東縣,3668,1442,2226,46,9,37,-,-,-,3622,1433,2189,-,-,-,1720,655,1065,-,-,-,-,-,-,1653,633,1020,67,22,45
104學年,臺東縣,1520,565,955,72,17,55,-,-,-,1439,545,894,9,3,6,692,257,435,-,-,-,-,-,-,692,257,435,-,-,-
104學年,花蓮縣,1886,627,1259,57,14,43,-,-,-,1764,607,1157,65,6,59,950,380,570,-,-,-,-,-,-,950,380,570,-,-,-
104學年,澎湖縣,585,236,349,-,-,-,-,-,-,585,236,349,-,-,-,312,136,176,-,-,-,-,-,-,312,136,176,-,-,-
104學年,基隆市,1469,428,1041,-,-,-,-,-,-,1413,415,998,56,13,43,713,219,494,-,-,-,-,-,-,713,219,494,-,-,-
104學年,新竹市,2092,293,1799,167,32,135,-,-,-,1860,254,1606,65,7,58,1046,241,805,-,-,-,-,-,-,1035,239,796,11,2,9
104學年,嘉義市,1160,304,856,59,14,45,-,-,-,1101,290,811,-,-,-,761,236,525,-,-,-,-,-,-,761,236,525,-,-,-
104學年,金門縣,398,129,269,-,-,-,-,-,-,398,129,269,-,-,-,200,85,115,-,-,-,-,-,-,200,85,115,-,-,-
104學年,連江縣,99,31,68,-,-,-,-,-,-,99,31,68,-,-,-,57,32,25,-,-,-,-,-,-,57,32,25,-,-,-
103學年,總計,98580,29083,69497,726,168,558,52708,14616,38092,43308,13960,29348,1838,339,1499,52154,16378,35776,-,-,-,28585,8415,20170,23031,7735,15296,538,228,310
103學年,新北市,14735,4005,10730,-,-,-,14370,3945,10425,-,-,-,365,60,305,6768,1923,4845,-,-,-,6744,1911,4833,-,-,-,24,12,12
103學年,臺北市,10082,2490,7592,103,24,79,9438,2377,7061,-,-,-,541,89,452,5488,1492,3996,-,-,-,5419,1464,3955,-,-,-,69,28,41
103學年,臺中市,11787,3247,8540,63,18,45,11453,3172,8281,-,-,-,271,57,214,6412,1993,4419,-,-,-,6404,1992,4412,-,-,-,8,1,7
103學年,臺南市,7292,2173,5119,150,40,110,7039,2115,4924,-,-,-,103,18,85,3873,1186,2687,-,-,-,3808,1153,2655,-,-,-,65,33,32
103學年,高雄市,10487,3022,7465,10,1,9,10408,3007,7401,-,-,-,69,14,55,6221,1898,4323,-,-,-,6210,1895,4315,-,-,-,11,3,8
103學年,宜蘭縣,2180,840,1340,-,-,-,-,-,-,2164,833,1331,16,7,9,1305,494,811,-,-,-,-,-,-,1305,494,811,-,-,-
103學年,桃園縣,9096,2435,6661,-,-,-,-,-,-,9019,2419,6600,77,16,61,5634,1665,3969,-,-,-,-,-,-,5617,1652,3965,17,13,4
103學年,新竹縣,2833,637,2196,-,-,-,-,-,-,2750,619,2131,83,18,65,1479,370,1109,-,-,-,-,-,-,1456,358,1098,23,12,11
103學年,苗栗縣,2792,907,1885,-,-,-,-,-,-,2792,907,1885,-,-,-,1314,436,878,-,-,-,-,-,-,1314,436,878,-,-,-
103學年,彰化縣,5482,1819,3663,-,-,-,-,-,-,5482,1819,3663,-,-,-,2830,1023,1807,-,-,-,-,-,-,2830,1023,1807,-,-,-
103學年,南投縣,2761,1062,1699,-,-,-,-,-,-,2702,1044,1658,59,18,41,1444,544,900,-,-,-,-,-,-,1418,535,883,26,9,17
103學年,雲林縣,3460,1267,2193,-,-,-,-,-,-,3399,1252,2147,61,15,46,1638,642,996,-,-,-,-,-,-,1434,557,877,204,85,119
103學年,嘉義縣,2559,1018,1541,-,-,-,-,-,-,2559,1018,1541,-,-,-,1110,396,714,-,-,-,-,-,-,1110,396,714,-,-,-
103學年,屏東縣,3765,1497,2268,44,10,34,-,-,-,3721,1487,2234,-,-,-,1772,681,1091,-,-,-,-,-,-,1705,659,1046,67,22,45
103學年,臺東縣,1528,589,939,72,16,56,-,-,-,1447,570,877,9,3,6,719,274,445,-,-,-,-,-,-,706,267,439,13,7,6
103學年,花蓮縣,1920,626,1294,55,15,40,-,-,-,1803,605,1198,62,6,56,977,381,596,-,-,-,-,-,-,977,381,596,-,-,-
103學年,澎湖縣,586,238,348,-,-,-,-,-,-,586,238,348,-,-,-,314,147,167,-,-,-,-,-,-,314,147,167,-,-,-
103學年,基隆市,1489,446,1043,-,-,-,-,-,-,1432,435,997,57,11,46,756,231,525,-,-,-,-,-,-,756,231,525,-,-,-
103學年,新竹市,2095,306,1789,170,30,140,-,-,-,1860,269,1591,65,7,58,1061,244,817,-,-,-,-,-,-,1050,241,809,11,3,8
103學年,嘉義市,1171,302,869,59,14,45,-,-,-,1112,288,824,-,-,-,784,244,540,-,-,-,-,-,-,784,244,540,-,-,-
103學年,金門縣,381,123,258,-,-,-,-,-,-,381,123,258,-,-,-,198,86,112,-,-,-,-,-,-,198,86,112,-,-,-
103學年,連江縣,99,34,65,-,-,-,-,-,-,99,34,65,-,-,-,57,28,29,-,-,-,-,-,-,57,28,29,-,-,-
102學年,總計,97436,29178,68258,718,167,551,52350,14686,37664,42635,13997,28638,1733,328,1405,52451,16563,35888,-,-,-,28890,8518,20372,23042,7820,15222,519,225,294
102學年,新北市,15074,4122,10952,-,-,-,14724,4057,10667,-,-,-,350,65,285,6803,1997,4806,-,-,-,6788,1987,4801,-,-,-,15,10,5
102學年,臺北市,10558,2608,7950,101,20,81,9933,2500,7433,-,-,-,524,88,436,5586,1524,4062,-,-,-,5523,1497,4026,-,-,-,63,27,36
102學年,臺中市,11504,3220,8284,66,17,49,11199,3149,8050,-,-,-,239,54,185,6516,1995,4521,-,-,-,6512,1994,4518,-,-,-,4,1,3
102學年,臺南市,6774,2115,4659,144,41,103,6535,2057,4478,-,-,-,95,17,78,3880,1174,2706,-,-,-,3818,1144,2674,-,-,-,62,30,32
102學年,高雄市,10031,2936,7095,10,1,9,9959,2923,7036,-,-,-,62,12,50,6260,1902,4358,-,-,-,6249,1896,4353,-,-,-,11,6,5
102學年,宜蘭縣,2161,835,1326,-,-,-,-,-,-,2146,832,1314,15,3,12,1317,505,812,-,-,-,-,-,-,1317,505,812,-,-,-
102學年,桃園縣,8897,2434,6463,-,-,-,-,-,-,8829,2419,6410,68,15,53,5606,1682,3924,-,-,-,-,-,-,5595,1675,3920,11,7,4
102學年,新竹縣,2706,628,2078,-,-,-,-,-,-,2628,611,2017,78,17,61,1474,367,1107,-,-,-,-,-,-,1449,354,1095,25,13,12
102學年,苗栗縣,2791,929,1862,-,-,-,-,-,-,2791,929,1862,-,-,-,1291,444,847,-,-,-,-,-,-,1291,444,847,-,-,-
102學年,彰化縣,5431,1838,3593,-,-,-,-,-,-,5431,1838,3593,-,-,-,2835,1015,1820,-,-,-,-,-,-,2835,1015,1820,-,-,-
102學年,南投縣,2790,1087,1703,-,-,-,-,-,-,2732,1069,1663,58,18,40,1449,554,895,-,-,-,-,-,-,1420,542,878,29,12,17
102學年,雲林縣,3384,1236,2148,-,-,-,-,-,-,3323,1223,2100,61,13,48,1637,649,988,-,-,-,-,-,-,1436,566,870,201,83,118
102學年,嘉義縣,2524,1011,1513,-,-,-,-,-,-,2524,1011,1513,-,-,-,1079,375,704,-,-,-,-,-,-,1079,375,704,-,-,-
102學年,屏東縣,3733,1515,2218,43,9,34,-,-,-,3690,1506,2184,-,-,-,1822,723,1099,-,-,-,-,-,-,1753,699,1054,69,24,45
102學年,臺東縣,1491,591,900,72,16,56,-,-,-,1412,573,839,7,2,5,732,288,444,-,-,-,-,-,-,713,278,435,19,10,9
102學年,花蓮縣,1869,617,1252,55,17,38,-,-,-,1758,593,1165,56,7,49,983,386,597,-,-,-,-,-,-,983,386,597,-,-,-
102學年,澎湖縣,602,240,362,-,-,-,-,-,-,602,240,362,-,-,-,322,148,174,-,-,-,-,-,-,322,148,174,-,-,-
102學年,基隆市,1481,457,1024,-,-,-,-,-,-,1423,445,978,58,12,46,760,232,528,-,-,-,-,-,-,760,232,528,-,-,-
102學年,新竹市,1999,296,1703,171,33,138,-,-,-,1766,258,1508,62,5,57,1054,240,814,-,-,-,-,-,-,1044,238,806,10,2,8
102學年,嘉義市,1147,295,852,56,13,43,-,-,-,1091,282,809,-,-,-,790,243,547,-,-,-,-,-,-,790,243,547,-,-,-
102學年,金門縣,395,132,263,-,-,-,-,-,-,395,132,263,-,-,-,197,92,105,-,-,-,-,-,-,197,92,105,-,-,-
102學年,連江縣,94,36,58,-,-,-,-,-,-,94,36,58,-,-,-,58,28,30,-,-,-,-,-,-,58,28,30,-,-,-
101學年,總計,97466,29626,67840,727,158,569,52982,15024,37958,42084,14123,27961,1673,321,1352,51872,16474,35398,-,-,-,28665,8467,20198,22652,7762,14890,555,245,310
101學年,新北市,15281,4201,11080,-,-,-,14963,4142,10821,-,-,-,318,59,259,6876,2026,4850,-,-,-,6790,1983,4807,-,-,-,86,43,43
101學年,臺北市,10883,2645,8238,101,19,82,10251,2534,7717,-,-,-,531,92,439,5626,1542,4084,-,-,-,5561,1514,4047,-,-,-,65,28,37
101學年,臺中市,11392,3260,8132,69,16,53,11103,3193,7910,-,-,-,220,51,169,6431,1942,4489,-,-,-,6431,1942,4489,-,-,-,-,-,-
101學年,臺南市,6871,2224,4647,141,36,105,6631,2171,4460,-,-,-,99,17,82,3833,1186,2647,-,-,-,3769,1155,2614,-,-,-,64,31,33
101學年,高雄市,10105,2996,7109,10,1,9,10034,2984,7050,-,-,-,61,11,50,6121,1875,4246,-,-,-,6114,1873,4241,-,-,-,7,2,5
101學年,宜蘭縣,2136,826,1310,-,-,-,-,-,-,2122,824,1298,14,2,12,1293,499,794,-,-,-,-,-,-,1293,499,794,-,-,-
101學年,桃園縣,8853,2481,6372,-,-,-,-,-,-,8793,2467,6326,60,14,46,5463,1660,3803,-,-,-,-,-,-,5456,1655,3801,7,5,2
101學年,新竹縣,2557,627,1930,-,-,-,-,-,-,2485,611,1874,72,16,56,1392,351,1041,-,-,-,-,-,-,1380,344,1036,12,7,5
101學年,苗栗縣,2847,948,1899,-,-,-,-,-,-,2847,948,1899,-,-,-,1312,437,875,-,-,-,-,-,-,1312,437,875,-,-,-
101學年,彰化縣,5311,1839,3472,-,-,-,-,-,-,5311,1839,3472,-,-,-,2898,1041,1857,-,-,-,-,-,-,2898,1041,1857,-,-,-
101學年,南投縣,2710,1101,1609,-,-,-,-,-,-,2656,1083,1573,54,18,36,1400,543,857,-,-,-,-,-,-,1369,530,839,31,13,18
101學年,雲林縣,3278,1228,2050,-,-,-,-,-,-,3218,1215,2003,60,13,47,1556,625,931,-,-,-,-,-,-,1365,544,821,191,81,110
101學年,嘉義縣,2534,1036,1498,-,-,-,-,-,-,2534,1036,1498,-,-,-,1055,376,679,-,-,-,-,-,-,1055,376,679,-,-,-
101學年,屏東縣,3776,1547,2229,48,8,40,-,-,-,3728,1539,2189,-,-,-,1791,723,1068,-,-,-,-,-,-,1721,696,1025,70,27,43
101學年,臺東縣,1463,594,869,76,17,59,-,-,-,1375,571,804,12,6,6,713,282,431,-,-,-,-,-,-,699,277,422,14,5,9
101學年,花蓮縣,1865,621,1244,55,18,37,-,-,-,1753,596,1157,57,7,50,979,385,594,-,-,-,-,-,-,979,385,594,-,-,-
101學年,澎湖縣,596,241,355,-,-,-,-,-,-,596,241,355,-,-,-,303,148,155,-,-,-,-,-,-,303,148,155,-,-,-
101學年,基隆市,1455,463,992,-,-,-,-,-,-,1399,454,945,56,9,47,768,226,542,-,-,-,-,-,-,768,226,542,-,-,-
101學年,新竹市,1939,278,1661,171,28,143,-,-,-,1709,244,1465,59,6,53,1042,242,800,-,-,-,-,-,-,1034,239,795,8,3,5
101學年,嘉義市,1152,304,848,56,15,41,-,-,-,1096,289,807,-,-,-,784,248,536,-,-,-,-,-,-,784,248,536,-,-,-
101學年,金門縣,367,133,234,-,-,-,-,-,-,367,133,234,-,-,-,182,85,97,-,-,-,-,-,-,182,85,97,-,-,-
101學年,連江縣,95,33,62,-,-,-,-,-,-,95,33,62,-,-,-,54,32,22,-,-,-,-,-,-,54,32,22,-,-,-
100學年,總計,98559,30233,68326,705,153,552,53812,15420,38392,42370,14355,28015,1672,305,1367,51200,16304,34896,-,-,-,28253,8350,19903,22413,7734,14679,534,220,314
100學年,新北市,15841,4398,11443,-,-,-,15536,4348,11188,-,-,-,305,50,255,6915,2019,4896,-,-,-,6839,1981,4858,-,-,-,76,38,38
100學年,臺北市,10871,2600,8271,99,20,79,10246,2492,7754,-,-,-,526,88,438,5538,1510,4028,-,-,-,5475,1492,3983,-,-,-,63,18,45
100學年,臺中市,11427,3320,8107,63,16,47,11110,3249,7861,-,-,-,254,55,199,6433,1947,4486,-,-,-,6421,1944,4477,-,-,-,12,3,9
100學年,臺南市,6928,2281,4647,146,38,108,6687,2228,4459,-,-,-,95,15,80,3731,1163,2568,-,-,-,3672,1134,2538,-,-,-,59,29,30
100學年,高雄市,10307,3115,7192,10,1,9,10233,3103,7130,-,-,-,64,11,53,5852,1800,4052,-,-,-,5846,1799,4047,-,-,-,6,1,5
100學年,宜蘭縣,2145,832,1313,-,-,-,-,-,-,2122,826,1296,23,6,17,1273,499,774,-,-,-,-,-,-,1273,499,774,-,-,-
100學年,桃園縣,8769,2487,6282,-,-,-,-,-,-,8721,2477,6244,48,10,38,5421,1625,3796,-,-,-,-,-,-,5421,1625,3796,-,-,-
100學年,新竹縣,2561,622,1939,-,-,-,-,-,-,2493,609,1884,68,13,55,1355,341,1014,-,-,-,-,-,-,1345,338,1007,10,3,7
100學年,苗栗縣,2792,943,1849,-,-,-,-,-,-,2792,943,1849,-,-,-,1271,440,831,-,-,-,-,-,-,1271,440,831,-,-,-
100學年,彰化縣,5386,1880,3506,-,-,-,-,-,-,5386,1880,3506,-,-,-,2896,1049,1847,-,-,-,-,-,-,2896,1049,1847,-,-,-
100學年,南投縣,2784,1136,1648,-,-,-,-,-,-,2731,1118,1613,53,18,35,1382,536,846,-,-,-,-,-,-,1350,523,827,32,13,19
100學年,雲林縣,3333,1265,2068,-,-,-,-,-,-,3280,1253,2027,53,12,41,1526,615,911,-,-,-,-,-,-,1340,534,806,186,81,105
100學年,嘉義縣,2548,1047,1501,-,-,-,-,-,-,2548,1047,1501,-,-,-,1050,375,675,-,-,-,-,-,-,1050,375,675,-,-,-
100學年,屏東縣,3849,1600,2249,44,8,36,-,-,-,3805,1592,2213,-,-,-,1788,719,1069,-,-,-,-,-,-,1720,693,1027,68,26,42
100學年,臺東縣,1492,607,885,72,17,55,-,-,-,1409,586,823,11,4,7,687,278,409,-,-,-,-,-,-,673,273,400,14,5,9
100學年,花蓮縣,1884,626,1258,55,17,38,-,-,-,1768,602,1166,61,7,54,969,389,580,-,-,-,-,-,-,969,389,580,-,-,-
100學年,澎湖縣,624,258,366,-,-,-,-,-,-,624,258,366,-,-,-,291,142,149,-,-,-,-,-,-,291,142,149,-,-,-
100學年,基隆市,1502,477,1025,-,-,-,-,-,-,1448,469,979,54,8,46,809,243,566,-,-,-,-,-,-,809,243,566,-,-,-
100學年,新竹市,1905,274,1631,160,24,136,-,-,-,1688,242,1446,57,8,49,1014,241,773,-,-,-,-,-,-,1006,238,768,8,3,5
100學年,嘉義市,1153,290,863,56,12,44,-,-,-,1097,278,819,-,-,-,776,259,517,-,-,-,-,-,-,776,259,517,-,-,-
100學年,金門縣,360,139,221,-,-,-,-,-,-,360,139,221,-,-,-,171,85,86,-,-,-,-,-,-,171,85,86,-,-,-
100學年,連江縣,98,36,62,-,-,-,-,-,-,98,36,62,-,-,-,52,29,23,-,-,-,-,-,-,52,29,23,-,-,-
99學年,總計,99562,30859,68703,709,155,554,15875,3982,11893,81313,26419,54894,1665,303,1362,51965,16582,35383,-,-,-,9005,2463,6542,42421,13884,28537,539,235,304
99學年,臺北市,11001,2623,8378,102,19,83,10373,2519,7854,-,-,-,526,85,441,5589,1519,4070,-,-,-,5534,1497,4037,-,-,-,55,22,33
99學年,高雄市,5555,1473,4082,10,1,9,5502,1463,4039,-,-,-,43,9,34,3482,971,2511,-,-,-,3471,966,2505,-,-,-,11,5,6
99學年,臺北縣,16113,4505,11608,-,-,-,-,-,-,15800,4450,11350,313,55,258,7081,2099,4982,-,-,-,-,-,-,7005,2061,4944,76,38,38
99學年,宜蘭縣,2183,856,1327,-,-,-,-,-,-,2171,854,1317,12,2,10,1311,514,797,-,-,-,-,-,-,1311,514,797,-,-,-
99學年,桃園縣,8807,2537,6270,-,-,-,-,-,-,8768,2528,6240,39,9,30,5307,1571,3736,-,-,-,-,-,-,5307,1571,3736,-,-,-
99學年,新竹縣,2559,650,1909,-,-,-,-,-,-,2482,637,1845,77,13,64,1353,335,1018,-,-,-,-,-,-,1346,332,1014,7,3,4
99學年,苗栗縣,2772,962,1810,-,-,-,-,-,-,2772,962,1810,-,-,-,1288,438,850,-,-,-,-,-,-,1288,438,850,-,-,-
99學年,臺中縣,6709,2321,4388,-,-,-,-,-,-,6656,2310,4346,53,11,42,4077,1322,2755,-,-,-,-,-,-,4077,1322,2755,-,-,-
99學年,彰化縣,5419,1911,3508,-,-,-,-,-,-,5419,1911,3508,-,-,-,2989,1102,1887,-,-,-,-,-,-,2989,1102,1887,-,-,-
99學年,南投縣,2829,1156,1673,-,-,-,-,-,-,2773,1138,1635,56,18,38,1412,552,860,-,-,-,-,-,-,1367,534,833,45,18,27
99學年,雲林縣,3404,1280,2124,-,-,-,-,-,-,3350,1266,2084,54,14,40,1546,632,914,-,-,-,-,-,-,1360,547,813,186,85,101
