學年別,縣市別,高級中等學校總計計,高級中等學校總計男,高級中等學校總計女,高級中等學校國立計,高級中等學校國立男,高級中等學校國立女,高級中等學校直轄市立計,高級中等學校直轄市立男,高級中等學校直轄市立女,高級中等學校縣市立計,高級中等學校縣市立男,高級中等學校縣市立女,高級中等學校私立計,高級中等學校私立男,高級中等學校私立女,高級中學總計計,高級中學總計男,高級中學總計女,高級中學國立計,高級中學國立男,高級中學國立女,高級中學直轄市立計,高級中學直轄市立男,高級中學直轄市立女,高級中學縣市立計,高級中學縣市立男,高級中學縣市立女,高級中學私立計,高級中學私立男,高級中學私立女,職業學校總計計,職業學校總計男,職業學校總計女,職業學校國立計,職業學校國立男,職業學校國立女,職業學校直轄市立計,職業學校直轄市立男,職業學校直轄市立女,職業學校縣市立計,職業學校縣市立男,職業學校縣市立女,職業學校私立計,職業學校私立男,職業學校私立女
101學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37159,14569,22590,9465,3947,5518,10570,3552,7018,3293,1167,2126,13831,5903,7928,17166,8146,9020,9693,4792,4901,2379,1113,1266,-,-,-,5094,2241,2853
101學年,新北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5076,1798,3278,1025,394,631,2406,756,1650,-,-,-,1645,648,997,1832,779,1053,678,335,343,150,59,91,-,-,-,1004,385,619
101學年,臺北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6141,2150,3991,316,107,209,4032,1360,2672,-,-,-,1793,683,1110,2208,995,1213,69,28,41,1401,677,724,-,-,-,738,290,448
101學年,臺中市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5254,2101,3153,1052,469,583,1285,444,841,-,-,-,2917,1188,1729,1370,697,673,1282,646,636,-,-,-,-,-,-,88,51,37
101學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3232,1381,1851,1244,529,715,422,132,290,-,-,-,1566,720,846,1518,825,693,1161,632,529,-,-,-,-,-,-,357,193,164
101學年,高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3845,1497,2348,592,215,377,2425,860,1565,-,-,-,828,422,406,2317,1043,1274,427,227,200,828,377,451,-,-,-,1062,439,623
101學年,宜蘭縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,502,253,249,308,147,161,-,-,-,37,15,22,157,91,66,567,270,297,567,270,297,-,-,-,-,-,-,-,-,-
101學年,桃園縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3189,1302,1887,828,336,492,-,-,-,711,247,464,1650,719,931,802,317,485,524,211,313,-,-,-,-,-,-,278,106,172
101學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,838,294,544,322,104,218,-,-,-,155,46,109,361,144,217,63,41,22,-,-,-,-,-,-,-,-,-,63,41,22
101學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,926,364,562,397,148,249,-,-,-,234,81,153,295,135,160,492,261,231,313,165,148,-,-,-,-,-,-,179,96,83
101學年,彰化縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1337,580,757,582,263,319,-,-,-,430,171,259,325,146,179,1394,657,737,1120,538,582,-,-,-,-,-,-,274,119,155
101學年,南投縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,718,298,420,424,187,237,-,-,-,147,54,93,147,57,90,591,261,330,486,226,260,-,-,-,-,-,-,105,35,70
101學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,988,450,538,289,140,149,-,-,-,263,104,159,436,206,230,683,374,309,469,246,223,-,-,-,-,-,-,214,128,86
101學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,399,200,199,143,83,60,-,-,-,130,55,75,126,62,64,368,216,152,108,67,41,-,-,-,-,-,-,260,149,111
101學年,屏東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1082,460,622,391,170,221,-,-,-,462,171,291,229,119,110,683,324,359,560,275,285,-,-,-,-,-,-,123,49,74
101學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,238,105,133,200,90,110,-,-,-,25,8,17,13,7,6,346,165,181,283,133,150,-,-,-,-,-,-,63,32,31
101學年,花蓮縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,560,251,309,258,116,142,-,-,-,33,17,16,269,118,151,438,231,207,384,200,184,-,-,-,-,-,-,54,31,23
101學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105,50,55,105,50,55,-,-,-,-,-,-,-,-,-,116,66,50,116,66,50,-,-,-,-,-,-,-,-,-
101學年,基隆市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,824,322,502,256,96,160,-,-,-,314,110,204,254,116,138,388,175,213,288,136,152,-,-,-,-,-,-,100,39,61
101學年,新竹市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1204,388,816,372,133,239,-,-,-,352,88,264,480,167,313,242,86,156,242,86,156,-,-,-,-,-,-,-,-,-
101學年,嘉義市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,600,269,331,260,114,146,-,-,-,-,-,-,340,155,185,659,299,360,527,241,286,-,-,-,-,-,-,132,58,74
101學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,38,31,69,38,31,-,-,-,-,-,-,-,-,-,89,64,25,89,64,25,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,18,14,32,18,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36407,14341,22066,9380,3917,5463,10264,3461,6803,3039,1086,1953,13724,5877,7847,16976,8066,8910,9628,4784,4844,2292,1101,1191,-,-,-,5056,2181,2875
100學年,新北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4949,1774,3175,1014,397,617,2284,721,1563,-,-,-,1651,656,995,1797,784,1013,677,340,337,146,61,85,-,-,-,974,383,591
100學年,臺北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6181,2156,4025,319,112,207,4045,1366,2679,-,-,-,1817,678,1139,2210,1002,1208,69,33,36,1397,683,714,-,-,-,744,286,458
100學年,臺中市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5090,2054,3036,1034,462,572,1242,436,806,-,-,-,2814,1156,1658,1376,707,669,1285,653,632,-,-,-,-,-,-,91,54,37
100學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3203,1371,1832,1249,515,734,402,132,270,-,-,-,1552,724,828,1485,793,692,1127,599,528,-,-,-,-,-,-,358,194,164
100學年,高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3698,1448,2250,583,217,366,2291,806,1485,-,-,-,824,425,399,2265,1015,1250,426,226,200,749,357,392,-,-,-,1090,432,658
100學年,宜蘭縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,493,246,247,305,143,162,-,-,-,36,16,20,152,87,65,573,273,300,573,273,300,-,-,-,-,-,-,-,-,-
100學年,桃園縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3065,1276,1789,823,338,485,-,-,-,585,203,382,1657,735,922,785,316,469,513,215,298,-,-,-,-,-,-,272,101,171
100學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,831,278,553,321,100,221,-,-,-,155,40,115,355,138,217,66,44,22,-,-,-,-,-,-,-,-,-,66,44,22
100學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,937,370,567,392,151,241,-,-,-,231,77,154,314,142,172,463,241,222,307,164,143,-,-,-,-,-,-,156,77,79
100學年,彰化縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1316,582,734,576,265,311,-,-,-,418,173,245,322,144,178,1391,653,738,1109,534,575,-,-,-,-,-,-,282,119,163
100學年,南投縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,684,282,402,414,176,238,-,-,-,126,44,82,144,62,82,581,252,329,490,220,270,-,-,-,-,-,-,91,32,59
100學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,959,436,523,286,138,148,-,-,-,259,104,155,414,194,220,660,356,304,475,251,224,-,-,-,-,-,-,185,105,80
100學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,384,193,191,143,83,60,-,-,-,122,50,72,119,60,59,360,217,143,106,68,38,-,-,-,-,-,-,254,149,105
100學年,屏東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1071,467,604,386,167,219,-,-,-,456,181,275,229,119,110,695,339,356,564,286,278,-,-,-,-,-,-,131,53,78
100學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,234,108,126,200,95,105,-,-,-,22,7,15,12,6,6,356,169,187,289,139,150,-,-,-,-,-,-,67,30,37
100學年,花蓮縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,539,239,300,244,109,135,-,-,-,26,13,13,269,117,152,428,220,208,376,192,184,-,-,-,-,-,-,52,28,24
100學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,103,51,52,103,51,52,-,-,-,-,-,-,-,-,-,114,65,49,114,65,49,-,-,-,-,-,-,-,-,-
100學年,基隆市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,780,300,480,253,86,167,-,-,-,262,89,173,265,125,140,402,172,230,284,134,150,-,-,-,-,-,-,118,38,80
100學年,新竹市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1194,394,800,371,136,235,-,-,-,341,89,252,482,169,313,237,88,149,237,88,149,-,-,-,-,-,-,-,-,-
100學年,嘉義市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,595,253,342,263,113,150,-,-,-,-,-,-,332,140,192,643,296,347,518,240,278,-,-,-,-,-,-,125,56,69
100學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,42,26,68,42,26,-,-,-,-,-,-,-,-,-,89,64,25,89,64,25,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,21,12,33,21,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36257,14407,21850,9358,3935,5423,5620,1938,3682,7528,2584,4944,13751,5950,7801,16906,8073,8833,9513,4743,4770,2149,1047,1102,139,57,82,5105,2226,2879
99學年,臺北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6199,2183,4016,313,112,201,4038,1377,2661,-,-,-,1848,694,1154,2230,1007,1223,63,28,35,1396,683,713,-,-,-,771,296,475
99學年,高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2393,956,1437,164,61,103,1582,561,1021,-,-,-,647,334,313,1244,520,724,-,-,-,753,364,389,-,-,-,491,156,335
99學年,臺北縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4988,1790,3198,1003,385,618,-,-,-,2354,755,1599,1631,650,981,1760,772,988,655,341,314,-,-,-,139,57,82,966,374,592
99學年,宜蘭縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,489,241,248,302,141,161,-,-,-,35,15,20,152,85,67,573,272,301,573,272,301,-,-,-,-,-,-,-,-,-
99學年,桃園縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3118,1286,1832,825,331,494,-,-,-,608,205,403,1685,750,935,766,305,461,505,206,299,-,-,-,-,-,-,261,99,162
99學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,822,291,531,317,103,214,-,-,-,150,42,108,355,146,209,70,47,23,-,-,-,-,-,-,-,-,-,70,47,23
99學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,945,383,562,389,151,238,-,-,-,235,82,153,321,150,171,457,235,222,303,159,144,-,-,-,-,-,-,154,76,78
99學年,臺中縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2884,1203,1681,423,193,230,-,-,-,571,213,358,1890,797,1093,689,384,305,689,384,305,-,-,-,-,-,-,-,-,-
99學年,彰化縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1234,549,685,575,267,308,-,-,-,324,134,190,335,148,187,1378,652,726,1095,531,564,-,-,-,-,-,-,283,121,162
99學年,南投縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,676,290,386,416,181,235,-,-,-,129,46,83,131,63,68,583,254,329,491,222,269,-,-,-,-,-,-,92,32,60
99學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,926,428,498,287,142,145,-,-,-,234,86,148,405,200,205,657,348,309,469,245,224,-,-,-,-,-,-,188,103,85
99學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,355,186,169,138,82,56,-,-,-,99,43,56,118,61,57,366,230,136,102,70,32,-,-,-,-,-,-,264,160,104
99學年,臺南縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1593,770,823,705,310,395,-,-,-,277,86,191,611,374,237,1067,597,470,901,509,392,-,-,-,-,-,-,166,88,78
99學年,高雄縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1335,528,807,427,167,260,-,-,-,731,274,457,177,87,90,1025,517,508,422,229,193,-,-,-,-,-,-,603,288,315
99學年,屏東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1050,455,595,399,172,227,-,-,-,428,171,257,223,112,111,663,327,336,538,278,260,-,-,-,-,-,-,125,49,76
99學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,229,113,116,194,94,100,-,-,-,22,10,12,13,9,4,368,176,192,301,143,158,-,-,-,-,-,-,67,33,34
99學年,花蓮縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,547,240,307,250,112,138,-,-,-,29,15,14,268,113,155,444,235,209,368,187,181,-,-,-,-,-,-,76,48,28
99學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,107,52,55,107,52,55,-,-,-,-,-,-,-,-,-,116,69,47,116,69,47,-,-,-,-,-,-,-,-,-
99學年,基隆市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,778,295,483,256,87,169,-,-,-,260,90,170,262,118,144,404,169,235,288,132,156,-,-,-,-,-,-,116,37,79
99學年,新竹市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1181,372,809,385,134,251,-,-,-,318,74,244,478,164,314,246,93,153,246,93,153,-,-,-,-,-,-,-,-,-
99學年,臺中市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2111,840,1271,594,263,331,-,-,-,604,200,404,913,377,536,661,313,348,575,262,313,-,-,-,-,-,-,86,51,35
99學年,嘉義市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,594,263,331,261,118,143,-,-,-,-,-,-,333,145,188,644,295,349,511,236,275,-,-,-,-,-,-,133,59,74
99學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1600,628,972,525,212,313,-,-,-,120,43,77,955,373,582,404,197,207,211,88,123,-,-,-,-,-,-,193,109,84
99學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,45,25,70,45,25,-,-,-,-,-,-,-,-,-,91,59,32,91,59,32,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,20,13,33,20,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35580,14109,21471,9341,3922,5419,5656,1952,3704,7154,2433,4721,13429,5802,7627,16585,7996,8589,9379,4735,4644,2113,1036,1077,135,51,84,4958,2174,2784
98學年,臺北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6163,2164,3999,309,114,195,4036,1370,2666,-,-,-,1818,680,1138,2214,1011,1203,69,33,36,1364,681,683,-,-,-,781,297,484
98學年,高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2334,936,1398,164,59,105,1620,582,1038,-,-,-,550,295,255,1239,509,730,-,-,-,749,355,394,-,-,-,490,154,336
98學年,臺北縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5017,1785,3232,1014,395,619,-,-,-,2369,751,1618,1634,639,995,1657,734,923,655,343,312,-,-,-,135,51,84,867,340,527
98學年,宜蘭縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,475,244,231,302,145,157,-,-,-,41,25,16,132,74,58,570,273,297,570,273,297,-,-,-,-,-,-,-,-,-
98學年,桃園縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3028,1264,1764,819,337,482,-,-,-,564,192,372,1645,735,910,750,305,445,486,205,281,-,-,-,-,-,-,264,100,164
98學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,830,305,525,318,107,211,-,-,-,151,41,110,361,157,204,70,47,23,-,-,-,-,-,-,-,-,-,70,47,23
98學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,954,388,566,396,152,244,-,-,-,244,87,157,314,149,165,430,223,207,297,163,134,-,-,-,-,-,-,133,60,73
98學年,臺中縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2866,1201,1665,416,191,225,-,-,-,557,207,350,1893,803,1090,674,373,301,674,373,301,-,-,-,-,-,-,-,-,-
98學年,彰化縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1091,478,613,571,254,317,-,-,-,197,82,115,323,142,181,1332,641,691,1076,527,549,-,-,-,-,-,-,256,114,142
98學年,南投縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,641,277,364,423,187,236,-,-,-,130,49,81,88,41,47,570,248,322,487,221,266,-,-,-,-,-,-,83,27,56
98學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,902,413,489,289,141,148,-,-,-,229,83,146,384,189,195,673,359,314,459,240,219,-,-,-,-,-,-,214,119,95
98學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,346,178,168,140,82,58,-,-,-,92,37,55,114,59,55,371,229,142,100,67,33,-,-,-,-,-,-,271,162,109
98學年,臺南縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1550,738,812,693,300,393,-,-,-,260,80,180,597,358,239,1052,597,455,894,511,383,-,-,-,-,-,-,158,86,72
98學年,高雄縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1339,523,816,431,170,261,-,-,-,745,269,476,163,84,79,1014,520,494,424,234,190,-,-,-,-,-,-,590,286,304
98學年,屏東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,885,388,497,387,166,221,-,-,-,277,113,164,221,109,112,646,329,317,526,284,242,-,-,-,-,-,-,120,45,75
98學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,229,105,124,196,91,105,-,-,-,21,7,14,12,7,5,345,166,179,279,131,148,-,-,-,-,-,-,66,35,31
98學年,花蓮縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,521,226,295,247,112,135,-,-,-,18,11,7,256,103,153,441,238,203,366,193,173,-,-,-,-,-,-,75,45,30
98學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111,51,60,111,51,60,-,-,-,-,-,-,-,-,-,119,72,47,119,72,47,-,-,-,-,-,-,-,-,-
98學年,基隆市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,786,301,485,258,85,173,-,-,-,260,92,168,268,124,144,395,169,226,288,135,153,-,-,-,-,-,-,107,34,73
98學年,新竹市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1159,368,791,385,140,245,-,-,-,297,70,227,477,158,319,238,92,146,238,92,146,-,-,-,-,-,-,-,-,-
98學年,臺中市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2090,822,1268,579,252,327,-,-,-,582,189,393,929,381,548,648,298,350,563,251,312,-,-,-,-,-,-,85,47,38
98學年,嘉義市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,583,259,324,263,115,148,-,-,-,-,-,-,320,144,176,633,291,342,506,234,272,-,-,-,-,-,-,127,57,70
98學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1577,632,945,527,213,314,-,-,-,120,48,72,930,371,559,409,204,205,208,85,123,-,-,-,-,-,-,201,119,82
98學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,45,26,71,45,26,-,-,-,-,-,-,-,-,-,95,68,27,95,68,27,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,18,14,32,18,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34759,13901,20858,9312,3948,5364,5508,1896,3612,6610,2246,4364,13329,5811,7518,16470,8062,8408,9288,4760,4528,2111,1045,1066,136,52,84,4935,2205,2730
97學年,臺北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6060,2146,3914,307,117,190,3917,1326,2591,-,-,-,1836,703,1133,2239,1050,1189,73,34,39,1374,704,670,-,-,-,792,312,480
97學年,高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2255,900,1355,165,60,105,1591,570,1021,-,-,-,499,270,229,1220,499,721,-,-,-,737,341,396,-,-,-,483,158,325
97學年,臺北縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4738,1690,3048,1017,405,612,-,-,-,2150,678,1472,1571,607,964,1645,736,909,646,349,297,-,-,-,136,52,84,863,335,528
97學年,宜蘭縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,470,242,228,301,147,154,-,-,-,35,16,19,134,79,55,560,271,289,560,271,289,-,-,-,-,-,-,-,-,-
97學年,桃園縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2938,1248,1690,814,331,483,-,-,-,457,150,307,1667,767,900,753,298,455,480,201,279,-,-,-,-,-,-,273,97,176
97學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,810,291,519,313,101,212,-,-,-,148,41,107,349,149,200,73,49,24,-,-,-,-,-,-,-,-,-,73,49,24
97學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,927,373,554,399,157,242,-,-,-,226,78,148,302,138,164,420,222,198,294,163,131,-,-,-,-,-,-,126,59,67
97學年,臺中縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2856,1214,1642,411,192,219,-,-,-,534,200,334,1911,822,1089,662,375,287,662,375,287,-,-,-,-,-,-,-,-,-
97學年,彰化縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1089,476,613,571,256,315,-,-,-,198,80,118,320,140,180,1332,664,668,1066,536,530,-,-,-,-,-,-,266,128,138
97學年,南投縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,611,265,346,425,194,231,-,-,-,132,49,83,54,22,32,548,251,297,470,224,246,-,-,-,-,-,-,78,27,51
97學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,892,417,475,280,140,140,-,-,-,224,81,143,388,196,192,699,378,321,472,248,224,-,-,-,-,-,-,227,130,97
97學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,330,167,163,140,83,57,-,-,-,75,26,49,115,58,57,365,223,142,99,66,33,-,-,-,-,-,-,266,157,109
97學年,臺南縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1549,756,793,684,302,382,-,-,-,258,82,176,607,372,235,1032,603,429,877,512,365,-,-,-,-,-,-,155,91,64
97學年,高雄縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1311,518,793,422,167,255,-,-,-,732,273,459,157,78,79,991,519,472,419,238,181,-,-,-,-,-,-,572,281,291
97學年,屏東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,884,385,499,391,168,223,-,-,-,277,109,168,216,108,108,638,322,316,533,282,251,-,-,-,-,-,-,105,40,65
97學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,235,114,121,200,95,105,-,-,-,20,9,11,15,10,5,357,176,181,296,142,154,-,-,-,-,-,-,61,34,27
97學年,花蓮縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,533,236,297,250,116,134,-,-,-,20,12,8,263,108,155,431,243,188,363,200,163,-,-,-,-,-,-,68,43,25
97學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,107,50,57,107,50,57,-,-,-,-,-,-,-,-,-,116,72,44,116,72,44,-,-,-,-,-,-,-,-,-
97學年,基隆市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,781,304,477,251,89,162,-,-,-,263,92,171,267,123,144,374,167,207,272,130,142,-,-,-,-,-,-,102,37,65
97學年,新竹市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1138,365,773,385,136,249,-,-,-,285,67,218,468,162,306,233,89,144,233,89,144,-,-,-,-,-,-,-,-,-
97學年,臺中市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2004,809,1195,586,253,333,-,-,-,462,159,303,956,397,559,651,299,352,561,253,308,-,-,-,-,-,-,90,46,44
97學年,嘉義市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,575,254,321,262,116,146,-,-,-,-,-,-,313,138,175,644,297,347,508,235,273,-,-,-,-,-,-,136,62,74
97學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1564,617,947,529,209,320,-,-,-,114,44,70,921,364,557,399,195,204,200,76,124,-,-,-,-,-,-,199,119,80
97學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72,47,25,72,47,25,-,-,-,-,-,-,-,-,-,88,64,24,88,64,24,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,17,13,30,17,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
