學年別,縣市別,總計計,總計1年級,總計2年級,總計3年級,國立計,國立1年級,國立2年級,國立3年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,私立計,私立1年級,私立2年級,私立3年級
104學年,宜蘭縣,25,8,9,8,25,8,9,8,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新竹縣,21,7,7,7,-,-,-,-,-,-,-,-,-,-,-,-,21,7,7,7
104學年,苗栗縣,53,17,18,18,6,2,2,2,-,-,-,-,-,-,-,-,47,15,16,16
104學年,彰化縣,79,26,27,26,55,17,19,19,-,-,-,-,-,-,-,-,24,9,8,7
104學年,南投縣,37,13,13,11,20,7,7,6,-,-,-,-,-,-,-,-,17,6,6,5
104學年,雲林縣,41,14,13,14,21,7,7,7,-,-,-,-,-,-,-,-,20,7,6,7
104學年,嘉義縣,42,15,14,13,3,1,1,1,-,-,-,-,-,-,-,-,39,14,13,12
104學年,屏東縣,27,8,10,9,18,6,6,6,-,-,-,-,-,-,-,-,9,2,4,3
104學年,臺東縣,6,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,6,2,2,2
104學年,花蓮縣,6,1,2,3,6,1,2,3,-,-,-,-,-,-,-,-,-,-,-,-
104學年,澎湖縣,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
104學年,基隆市,12,5,3,4,6,2,2,2,-,-,-,-,-,-,-,-,6,3,1,2
104學年,新竹市,18,5,7,6,12,4,4,4,-,-,-,-,-,-,-,-,6,1,3,2
104學年,嘉義市,54,18,18,18,27,9,9,9,-,-,-,-,-,-,-,-,27,9,9,9
104學年,金門縣,2,1,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,1051,333,345,373,358,117,120,121,49,14,16,19,-,-,-,-,644,202,209,233
103學年,新北市,53,15,18,20,-,-,-,-,20,7,6,7,-,-,-,-,33,8,12,13
103學年,臺北市,21,7,6,8,-,-,-,-,8,3,2,3,-,-,-,-,13,4,4,5
103學年,臺中市,108,33,35,40,67,21,22,24,-,-,-,-,-,-,-,-,41,12,13,16
103學年,臺南市,140,43,47,50,75,24,26,25,-,-,-,-,-,-,-,-,65,19,21,25
103學年,高雄市,181,53,60,68,6,2,2,2,21,4,8,9,-,-,-,-,154,47,50,57
103學年,宜蘭縣,25,9,8,8,25,9,8,8,-,-,-,-,-,-,-,-,-,-,-,-
103學年,桃園縣,114,36,38,40,4,1,1,2,-,-,-,-,-,-,-,-,110,35,37,38
103學年,新竹縣,22,8,7,7,-,-,-,-,-,-,-,-,-,-,-,-,22,8,7,7
103學年,苗栗縣,52,18,18,16,6,2,2,2,-,-,-,-,-,-,-,-,46,16,16,14
103學年,彰化縣,79,27,26,26,57,19,19,19,-,-,-,-,-,-,-,-,22,8,7,7
103學年,南投縣,37,13,11,13,20,7,6,7,-,-,-,-,-,-,-,-,17,6,5,6
103學年,雲林縣,40,13,14,13,20,7,7,6,-,-,-,-,-,-,-,-,20,6,7,7
103學年,嘉義縣,45,15,13,17,4,1,1,2,-,-,-,-,-,-,-,-,41,14,12,15
103學年,屏東縣,28,10,9,9,17,6,6,5,-,-,-,-,-,-,-,-,11,4,3,4
103學年,臺東縣,6,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,6,2,2,2
103學年,花蓮縣,7,2,3,2,7,2,3,2,-,-,-,-,-,-,-,-,-,-,-,-
103學年,澎湖縣,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,12,3,4,5,6,2,2,2,-,-,-,-,-,-,-,-,6,1,2,3
103學年,新竹市,20,7,6,7,12,4,4,4,-,-,-,-,-,-,-,-,8,3,2,3
103學年,嘉義市,56,18,18,20,27,9,9,9,-,-,-,-,-,-,-,-,29,9,9,11
103學年,金門縣,2,-,1,1,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,1102,348,373,381,361,120,121,120,53,15,19,19,-,-,-,-,688,213,233,242
102學年,新北市,60,18,20,22,-,-,-,-,20,6,7,7,-,-,-,-,40,12,13,15
102學年,臺北市,22,6,8,8,-,-,-,-,8,2,3,3,-,-,-,-,14,4,5,5
102學年,臺中市,118,35,40,43,70,22,24,24,-,-,-,-,-,-,-,-,48,13,16,19
102學年,臺南市,146,48,50,48,77,26,25,26,-,-,-,-,-,-,-,-,69,22,25,22
102學年,高雄市,197,60,68,69,6,2,2,2,25,7,9,9,-,-,-,-,166,51,57,58
102學年,宜蘭縣,24,8,8,8,24,8,8,8,-,-,-,-,-,-,-,-,-,-,-,-
102學年,桃園縣,115,38,40,37,4,1,2,1,-,-,-,-,-,-,-,-,111,37,38,36
102學年,新竹縣,22,7,7,8,-,-,-,-,-,-,-,-,-,-,-,-,22,7,7,8
102學年,苗栗縣,51,18,16,17,7,2,2,3,-,-,-,-,-,-,-,-,44,16,14,14
102學年,彰化縣,76,26,26,24,56,19,19,18,-,-,-,-,-,-,-,-,20,7,7,6
102學年,南投縣,37,11,13,13,20,6,7,7,-,-,-,-,-,-,-,-,17,5,6,6
102學年,雲林縣,42,14,13,15,19,7,6,6,-,-,-,-,-,-,-,-,23,7,7,9
102學年,嘉義縣,48,13,17,18,5,1,2,2,-,-,-,-,-,-,-,-,43,12,15,16
102學年,屏東縣,28,11,9,8,14,6,5,3,-,-,-,-,-,-,-,-,14,5,4,5
102學年,臺東縣,8,2,2,4,1,-,-,1,-,-,-,-,-,-,-,-,7,2,2,3
102學年,花蓮縣,7,3,2,2,7,3,2,2,-,-,-,-,-,-,-,-,-,-,-,-
102學年,澎湖縣,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,基隆市,16,4,5,7,6,2,2,2,-,-,-,-,-,-,-,-,10,2,3,5
102學年,新竹市,21,6,7,8,12,4,4,4,-,-,-,-,-,-,-,-,9,2,3,4
102學年,嘉義市,58,18,20,20,27,9,9,9,-,-,-,-,-,-,-,-,31,9,11,11
102學年,金門縣,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,1182,375,382,425,388,128,127,133,38,13,12,13,-,-,-,-,756,234,243,279
101學年,新北市,70,20,22,28,20,7,7,6,-,-,-,-,-,-,-,-,50,13,15,22
101學年,臺北市,24,8,8,8,-,-,-,-,9,3,3,3,-,-,-,-,15,5,5,5
101學年,臺中市,130,40,43,47,74,24,24,26,-,-,-,-,-,-,-,-,56,16,19,21
101學年,臺南市,155,50,48,57,79,25,26,28,-,-,-,-,-,-,-,-,76,25,22,29
101學年,高雄市,220,69,70,81,7,2,2,3,29,10,9,10,-,-,-,-,184,57,59,68
101學年,宜蘭縣,23,8,8,7,23,8,8,7,-,-,-,-,-,-,-,-,-,-,-,-
101學年,桃園縣,115,41,37,37,4,2,1,1,-,-,-,-,-,-,-,-,111,39,36,36
101學年,新竹縣,26,7,8,11,-,-,-,-,-,-,-,-,-,-,-,-,26,7,8,11
101學年,苗栗縣,50,16,17,17,7,2,3,2,-,-,-,-,-,-,-,-,43,14,14,15
101學年,彰化縣,80,26,24,30,58,19,18,21,-,-,-,-,-,-,-,-,22,7,6,9
101學年,南投縣,40,13,13,14,23,7,7,9,-,-,-,-,-,-,-,-,17,6,6,5
101學年,雲林縣,49,13,15,21,18,6,6,6,-,-,-,-,-,-,-,-,31,7,9,15
101學年,嘉義縣,52,17,18,17,6,2,2,2,-,-,-,-,-,-,-,-,46,15,16,15
101學年,屏東縣,25,9,8,8,12,5,3,4,-,-,-,-,-,-,-,-,13,4,5,4
101學年,臺東縣,9,2,4,3,1,-,1,-,-,-,-,-,-,-,-,-,8,2,3,3
101學年,花蓮縣,6,2,2,2,6,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-
101學年,澎湖縣,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
101學年,基隆市,19,5,7,7,6,2,2,2,-,-,-,-,-,-,-,-,13,3,5,5
101學年,新竹市,23,7,8,8,12,4,4,4,-,-,-,-,-,-,-,-,11,3,4,4
101學年,嘉義市,60,20,20,20,26,9,9,8,-,-,-,-,-,-,-,-,34,11,11,12
101學年,金門縣,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,1241,386,425,430,391,127,133,131,40,13,13,14,-,-,-,-,810,246,279,285
100學年,新北市,82,23,28,31,21,7,6,8,-,-,-,-,-,-,-,-,61,16,22,23
100學年,臺北市,24,8,8,8,-,-,-,-,9,3,3,3,-,-,-,-,15,5,5,5
100學年,臺中市,138,43,47,48,76,24,26,26,-,-,-,-,-,-,-,-,62,19,21,22
100學年,臺南市,169,49,57,63,82,26,28,28,-,-,-,-,-,-,-,-,87,23,29,35
100學年,高雄市,238,71,81,86,8,2,3,3,31,10,10,11,-,-,-,-,199,59,68,72
100學年,宜蘭縣,22,8,7,7,22,8,7,7,-,-,-,-,-,-,-,-,-,-,-,-
100學年,桃園縣,113,37,37,39,3,1,1,1,-,-,-,-,-,-,-,-,110,36,36,38
100學年,新竹縣,27,8,11,8,-,-,-,-,-,-,-,-,-,-,-,-,27,8,11,8
100學年,苗栗縣,51,17,17,17,7,3,2,2,-,-,-,-,-,-,-,-,44,14,15,15
100學年,彰化縣,84,24,30,30,60,18,21,21,-,-,-,-,-,-,-,-,24,6,9,9
100學年,南投縣,41,13,14,14,25,7,9,9,-,-,-,-,-,-,-,-,16,6,5,5
100學年,雲林縣,54,15,21,18,17,6,6,5,-,-,-,-,-,-,-,-,37,9,15,13
100學年,嘉義縣,51,18,17,16,5,2,2,1,-,-,-,-,-,-,-,-,46,16,15,15
100學年,屏東縣,25,8,8,9,10,3,4,3,-,-,-,-,-,-,-,-,15,5,4,6
100學年,臺東縣,9,4,3,2,1,1,-,-,-,-,-,-,-,-,-,-,8,3,3,2
100學年,花蓮縣,5,2,2,1,5,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-
100學年,澎湖縣,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
100學年,基隆市,19,7,7,5,6,2,2,2,-,-,-,-,-,-,-,-,13,5,5,3
100學年,新竹市,25,9,8,8,12,4,4,4,-,-,-,-,-,-,-,-,13,5,4,4
100學年,嘉義市,58,20,20,18,25,9,8,8,-,-,-,-,-,-,-,-,33,11,12,10
100學年,金門縣,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,1289,432,431,426,404,133,131,140,43,15,14,14,-,-,-,-,842,284,286,272
99學年,臺北市,25,8,8,9,-,-,-,-,9,3,3,3,-,-,-,-,16,5,5,6
99學年,高雄市,139,47,46,46,-,-,-,-,34,12,11,11,-,-,-,-,105,35,35,35
99學年,臺北縣,90,29,31,30,23,6,8,9,-,-,-,-,-,-,-,-,67,23,23,21
99學年,宜蘭縣,21,7,7,7,21,7,7,7,-,-,-,-,-,-,-,-,-,-,-,-
99學年,桃園縣,112,37,39,36,4,1,1,2,-,-,-,-,-,-,-,-,108,36,38,34
99學年,新竹縣,27,11,8,8,-,-,-,-,-,-,-,-,-,-,-,-,27,11,8,8
99學年,苗栗縣,51,18,17,16,7,2,2,3,-,-,-,-,-,-,-,-,44,16,15,13
99學年,臺中縣,86,26,28,32,21,7,7,7,-,-,-,-,-,-,-,-,65,19,21,25
99學年,彰化縣,92,30,30,32,65,21,21,23,-,-,-,-,-,-,-,-,27,9,9,9
99學年,南投縣,40,14,14,12,25,9,9,7,-,-,-,-,-,-,-,-,15,5,5,5
99學年,雲林縣,55,21,18,16,18,6,5,7,-,-,-,-,-,-,-,-,37,15,13,9
99學年,嘉義縣,48,17,16,15,4,2,1,1,-,-,-,-,-,-,-,-,44,15,15,14
99學年,臺南縣,122,36,43,43,79,25,26,28,-,-,-,-,-,-,-,-,43,11,17,15
99學年,高雄縣,115,37,40,38,9,3,3,3,-,-,-,-,-,-,-,-,106,34,37,35
99學年,屏東縣,24,8,9,7,10,4,3,3,-,-,-,-,-,-,-,-,14,4,6,4
99學年,臺東縣,8,3,2,3,1,-,-,1,-,-,-,-,-,-,-,-,7,3,2,2
99學年,花蓮縣,5,2,1,2,5,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-
99學年,澎湖縣,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
99學年,基隆市,16,7,5,4,6,2,2,2,-,-,-,-,-,-,-,-,10,5,3,2
99學年,新竹市,24,8,8,8,12,4,4,4,-,-,-,-,-,-,-,-,12,4,4,4
99學年,臺中市,66,22,21,23,58,19,19,20,-,-,-,-,-,-,-,-,8,3,2,3
99學年,嘉義市,56,20,18,18,24,8,8,8,-,-,-,-,-,-,-,-,32,12,10,10
99學年,臺南市,62,22,20,20,7,3,2,2,-,-,-,-,-,-,-,-,55,19,18,18
99學年,金門縣,2,1,1,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,1257,431,427,399,400,131,140,129,45,14,16,15,-,-,-,-,812,286,271,255
98學年,臺北市,26,8,9,9,-,-,-,-,9,3,3,3,-,-,-,-,17,5,6,6
98學年,高雄市,130,46,48,36,-,-,-,-,36,11,13,12,-,-,-,-,94,35,35,24
98學年,臺北縣,88,31,30,27,23,8,9,6,-,-,-,-,-,-,-,-,65,23,21,21
98學年,宜蘭縣,20,7,7,6,20,7,7,6,-,-,-,-,-,-,-,-,-,-,-,-
98學年,桃園縣,113,39,36,38,5,1,2,2,-,-,-,-,-,-,-,-,108,38,34,36
98學年,新竹縣,27,8,8,11,-,-,-,-,-,-,-,-,-,-,-,-,27,8,8,11
98學年,苗栗縣,45,17,16,12,7,2,3,2,-,-,-,-,-,-,-,-,38,15,13,10
98學年,臺中縣,90,28,31,31,21,7,7,7,-,-,-,-,-,-,-,-,69,21,24,24
98學年,彰化縣,96,30,32,34,69,21,23,25,-,-,-,-,-,-,-,-,27,9,9,9
98學年,南投縣,38,14,12,12,24,9,7,8,-,-,-,-,-,-,-,-,14,5,5,4
98學年,雲林縣,49,18,16,15,18,5,7,6,-,-,-,-,-,-,-,-,31,13,9,9
98學年,嘉義縣,43,16,15,12,2,1,1,-,-,-,-,-,-,-,-,-,41,15,14,12
98學年,臺南縣,124,43,43,38,78,26,28,24,-,-,-,-,-,-,-,-,46,17,15,14
98學年,高雄縣,113,40,38,35,9,3,3,3,-,-,-,-,-,-,-,-,104,37,35,32
98學年,屏東縣,24,9,7,8,9,3,3,3,-,-,-,-,-,-,-,-,15,6,4,5
98學年,臺東縣,8,2,3,3,1,-,1,-,-,-,-,-,-,-,-,-,7,2,2,3
98學年,花蓮縣,5,1,2,2,4,1,2,1,-,-,-,-,-,-,-,-,1,-,-,1
98學年,澎湖縣,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
98學年,基隆市,12,5,4,3,6,2,2,2,-,-,-,-,-,-,-,-,6,3,2,1
98學年,新竹市,24,8,8,8,12,4,4,4,-,-,-,-,-,-,-,-,12,4,4,4
98學年,臺中市,66,21,23,22,58,19,20,19,-,-,-,-,-,-,-,-,8,2,3,3
98學年,嘉義市,53,18,18,17,24,8,8,8,-,-,-,-,-,-,-,-,29,10,10,9
98學年,臺南市,59,20,20,19,6,2,2,2,-,-,-,-,-,-,-,-,53,18,18,17
98學年,金門縣,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,1191,428,402,361,395,140,129,126,45,16,15,14,-,-,-,-,751,272,258,221
97學年,臺北市,28,9,9,10,-,-,-,-,9,3,3,3,-,-,-,-,19,6,6,7
97學年,高雄市,114,48,38,28,-,-,-,-,36,13,12,11,-,-,-,-,78,35,26,17
97學年,臺北縣,85,30,27,28,25,9,6,10,-,-,-,-,-,-,-,-,60,21,21,18
97學年,宜蘭縣,18,7,6,5,18,7,6,5,-,-,-,-,-,-,-,-,-,-,-,-
97學年,桃園縣,109,36,38,35,6,2,2,2,-,-,-,-,-,-,-,-,103,34,36,33
97學年,新竹縣,29,8,11,10,-,-,-,-,-,-,-,-,-,-,-,-,29,8,11,10
97學年,苗栗縣,38,16,12,10,7,3,2,2,-,-,-,-,-,-,-,-,31,13,10,8
97學年,臺中縣,93,32,32,29,21,7,7,7,-,-,-,-,-,-,-,-,72,25,25,22
97學年,彰化縣,98,32,34,32,73,23,25,25,-,-,-,-,-,-,-,-,25,9,9,7
97學年,南投縣,34,12,12,10,22,7,8,7,-,-,-,-,-,-,-,-,12,5,4,3
97學年,雲林縣,44,16,15,13,18,7,6,5,-,-,-,-,-,-,-,-,26,9,9,8
97學年,嘉義縣,41,15,12,14,1,1,-,-,-,-,-,-,-,-,-,-,40,14,12,14
97學年,臺南縣,114,43,38,33,74,28,24,22,-,-,-,-,-,-,-,-,40,15,14,11
97學年,高雄縣,104,38,35,31,8,3,3,2,-,-,-,-,-,-,-,-,96,35,32,29
97學年,屏東縣,21,7,8,6,9,3,3,3,-,-,-,-,-,-,-,-,12,4,5,3
97學年,臺東縣,9,3,3,3,1,1,-,-,-,-,-,-,-,-,-,-,8,2,3,3
97學年,花蓮縣,6,2,2,2,5,2,1,2,-,-,-,-,-,-,-,-,1,-,1,-
97學年,澎湖縣,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
97學年,基隆市,9,4,3,2,5,2,2,1,-,-,-,-,-,-,-,-,4,2,1,1
97學年,新竹市,25,8,8,9,13,4,4,5,-,-,-,-,-,-,-,-,12,4,4,4
97學年,臺中市,65,23,22,20,58,20,19,19,-,-,-,-,-,-,-,-,7,3,3,1
97學年,嘉義市,51,18,17,16,23,8,8,7,-,-,-,-,-,-,-,-,28,10,9,9
97學年,臺南市,53,20,19,14,5,2,2,1,-,-,-,-,-,-,-,-,48,18,17,13
97學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
