學年別,學門別,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
105學年,總計,1309441,646866,662575,88425,21859,66566,7259,3754,3505,562,371,191,36257,9493,26764,978579,498342,480237,169538,93583,75955,28821,19464,9357
105學年,教育學門,38816,13071,25745,-,-,-,-,-,-,-,-,-,116,6,110,21558,7471,14087,14292,4250,10042,2850,1344,1506
105學年,藝術學門,31954,10024,21930,2336,726,1610,-,-,-,102,33,69,697,155,542,21852,6960,14892,6547,1967,4580,420,183,237
105學年,人文學門,107749,32695,75054,6573,1343,5230,20,10,10,-,-,-,1630,398,1232,86870,26264,60606,10443,3577,6866,2213,1103,1110
105學年,設計學門,68031,26758,41273,2642,1236,1406,145,85,60,1,-,1,1050,369,681,59679,22985,36694,3976,1801,2175,538,282,256
105學年,社會及行為科學學門,48064,20787,27277,-,-,-,-,-,-,-,-,-,-,-,-,34233,14393,19840,12203,5369,6834,1628,1025,603
105學年,傳播學門,26389,9179,17210,-,-,-,-,-,-,-,-,-,88,32,56,23502,8115,15387,2677,975,1702,122,57,65
105學年,商業及管理學門,222007,92765,129242,6000,1546,4454,1246,731,515,22,10,12,6357,2228,4129,175844,71479,104365,29628,14965,14663,2910,1806,1104
105學年,法律學門,20415,9819,10596,-,-,-,-,-,-,39,25,14,165,104,61,13562,6049,7513,6293,3387,2906,356,254,102
105學年,生命科學學門,19160,10617,8543,70,18,52,19,3,16,-,-,-,86,29,57,13579,7472,6107,3762,2027,1735,1644,1068,576
105學年,自然科學學門,22128,15919,6209,-,-,-,-,-,-,-,-,-,-,-,-,15557,11162,4395,4767,3349,1418,1804,1408,396
105學年,數學及統計學門,14698,9903,4795,-,-,-,-,-,-,-,-,-,-,-,-,12452,8388,4064,2026,1338,688,220,177,43
105學年,電算機學門,59632,40312,19320,2695,1634,1061,583,383,200,25,16,9,1131,652,479,49558,33812,15746,5256,3529,1727,384,286,98
105學年,工程學門,256213,221197,35016,4525,4187,338,862,762,100,77,69,8,2993,2471,522,193424,168237,25187,45551,37850,7701,8781,7621,1160
105學年,建築及都市規劃學門,14517,7824,6693,167,126,41,145,89,56,-,-,-,115,66,49,11620,6153,5467,2218,1223,995,252,167,85
105學年,農業科學學門,25391,12640,12751,254,127,127,180,103,77,-,-,-,5,1,4,20848,10242,10606,3415,1741,1674,689,426,263
105學年,獸醫學門,1952,933,1019,-,-,-,-,-,-,-,-,-,-,-,-,1516,709,807,319,149,170,117,75,42
105學年,醫藥衛生學門,127946,36062,91884,43468,6055,37413,1274,775,499,32,12,20,14382,1382,13000,58089,23543,34546,7246,2358,4888,3455,1937,1518
105學年,社會服務學門,31307,4908,26399,4144,319,3825,1143,158,985,-,-,-,3401,380,3021,20598,3603,16995,1896,400,1496,125,48,77
105學年,民生學門,159124,63731,95393,15083,4238,10845,1556,577,979,42,14,28,3835,1129,2706,132916,55134,77782,5535,2542,2993,157,97,60
105學年,運輸服務學門,9852,5035,4817,468,304,164,86,78,8,205,180,25,206,91,115,7872,3813,4059,941,517,424,74,52,22
105學年,環境保護學門,1787,1113,674,-,-,-,-,-,-,-,-,-,-,-,-,1420,908,512,326,180,146,41,25,16
105學年,軍警國防安全學門,1045,934,111,-,-,-,-,-,-,17,12,5,-,-,-,993,892,101,35,30,5,-,-,-
105學年,其他學門,1264,640,624,-,-,-,-,-,-,-,-,-,-,-,-,1037,558,479,186,59,127,41,23,18
104學年,總計,1332445,660775,671670,89143,21760,67383,8323,4230,4093,357,272,85,36129,9501,26628,998732,510129,488603,170428,94884,75544,29333,19999,9334
104學年,教育學門,38600,12946,25654,-,-,-,-,-,-,-,-,-,103,6,97,21563,7294,14269,14139,4311,9828,2795,1335,1460
104學年,藝術學門,31006,9454,21552,2394,731,1663,1,-,1,39,13,26,679,151,528,20894,6470,14424,6579,1903,4676,420,186,234
104學年,人文學門,110703,32948,77755,6790,1312,5478,4,-,4,-,-,-,1696,394,1302,89098,26449,62649,10854,3675,7179,2261,1118,1143
104學年,設計學門,68621,27174,41447,2791,1326,1465,201,115,86,1,-,1,987,339,648,60146,23220,36926,3978,1882,2096,517,292,225
104學年,社會及行為科學學門,48623,21111,27512,-,-,-,-,-,-,-,-,-,3,-,3,34710,14586,20124,12302,5495,6807,1608,1030,578
104學年,傳播學門,26763,9518,17245,-,-,-,-,-,-,3,2,1,87,30,57,23901,8431,15470,2657,1008,1649,115,47,68
104學年,商業及管理學門,228196,94454,133742,6386,1634,4752,1511,785,726,9,6,3,6213,2161,4052,181444,73079,108365,29755,15025,14730,2878,1764,1114
104學年,法律學門,20174,9802,10372,-,-,-,-,-,-,-,-,-,168,111,57,13689,6172,7517,5974,3276,2698,343,243,100
104學年,生命科學學門,19830,11097,8733,38,9,29,-,-,-,-,-,-,116,36,80,14106,7797,6309,3846,2118,1728,1724,1137,587
104學年,自然科學學門,22594,16447,6147,-,-,-,-,-,-,-,-,-,-,-,-,15822,11528,4294,4947,3495,1452,1825,1424,401
104學年,數學及統計學門,14889,10070,4819,-,-,-,-,-,-,-,-,-,-,-,-,12717,8540,4177,1957,1350,607,215,180,35
104學年,電算機學門,65022,44018,21004,2895,1762,1133,655,413,242,-,-,-,1286,748,538,54375,37148,17227,5406,3650,1756,405,297,108
104學年,工程學門,262444,227333,35111,4528,4214,314,924,819,105,89,81,8,2928,2445,483,198409,173034,25375,46299,38641,7658,9267,8099,1168
104學年,建築及都市規劃學門,14920,8002,6918,161,119,42,143,88,55,-,-,-,112,62,50,11976,6310,5666,2284,1256,1028,244,167,77
104學年,農業科學學門,25735,12734,13001,257,126,131,185,105,80,-,-,-,1,1,-,21137,10271,10866,3409,1775,1634,746,456,290
104學年,獸醫學門,1866,906,960,-,-,-,-,-,-,-,-,-,-,-,-,1461,690,771,292,146,146,113,70,43
104學年,醫藥衛生學門,125698,35505,90193,43559,5792,37767,1366,837,529,25,13,12,14271,1291,12980,56100,23347,32753,6936,2306,4630,3441,1919,1522
104學年,社會服務學門,31612,4925,26687,3750,251,3499,1178,164,1014,-,-,-,3207,384,2823,21422,3677,17745,1940,403,1537,115,46,69
104學年,民生學門,161327,64708,96619,15131,4183,10948,2045,807,1238,26,10,16,4078,1256,2822,134490,55973,78517,5417,2394,3023,140,85,55
104學年,運輸服務學門,9729,4977,4752,463,301,162,110,97,13,151,136,15,194,86,108,7770,3760,4010,959,536,423,82,61,21
104學年,環境保護學門,1847,1134,713,-,-,-,-,-,-,-,-,-,-,-,-,1485,942,543,316,168,148,46,24,22
104學年,軍警國防安全學門,894,815,79,-,-,-,-,-,-,14,11,3,-,-,-,845,773,72,35,31,4,-,-,-
104學年,其他學門,1352,697,655,-,-,-,-,-,-,-,-,-,-,-,-,1172,638,534,147,40,107,33,19,14
103學年,總計,1339849,666128,673721,89484,21456,68028,9786,4846,4940,416,308,108,36837,10047,26790,999809,511735,488074,172968,96694,76274,30549,21042,9507
103學年,教育學門,38704,13051,25653,-,-,-,-,-,-,-,-,-,78,7,71,21465,7241,14224,14406,4450,9956,2755,1353,1402
103學年,藝術學門,29784,8980,20804,2441,731,1710,2,2,-,21,10,11,668,135,533,19778,6046,13732,6500,1893,4607,374,163,211
103學年,人文學門,112284,32925,79359,6898,1297,5601,44,24,20,-,-,-,1721,399,1322,89946,26235,63711,11363,3850,7513,2312,1120,1192
103學年,設計學門,67089,26558,40531,2766,1308,1458,220,136,84,7,4,3,933,319,614,58611,22589,36022,4063,1919,2144,489,283,206
103學年,社會及行為科學學門,48462,20907,27555,-,-,-,-,-,-,-,-,-,11,1,10,34177,14178,19999,12584,5679,6905,1690,1049,641
103學年,傳播學門,26364,9457,16907,-,-,-,-,-,-,-,-,-,103,30,73,23313,8321,14992,2840,1062,1778,108,44,64
103學年,商業及管理學門,231665,94795,136870,6604,1670,4934,2071,1069,1002,51,30,21,6414,2374,4040,183850,72871,110979,29775,15006,14769,2900,1775,1125
103學年,法律學門,19870,9588,10282,-,-,-,-,-,-,-,-,-,208,126,82,13503,6046,7457,5845,3188,2657,314,228,86
103學年,生命科學學門,20734,11646,9088,-,-,-,3,-,3,-,-,-,160,44,116,14576,8090,6486,4102,2266,1836,1893,1246,647
103學年,自然科學學門,22901,16874,6027,-,-,-,-,-,-,-,-,-,-,-,-,15914,11751,4163,5072,3606,1466,1915,1517,398
103學年,數學及統計學門,15018,10079,4939,-,-,-,-,-,-,-,-,-,-,-,-,12771,8500,4271,2017,1387,630,230,192,38
103學年,電算機學門,68509,46026,22483,3355,1984,1371,749,415,334,-,-,-,1425,849,576,57110,38782,18328,5418,3666,1752,452,330,122
103學年,工程學門,268135,232924,35211,4642,4300,342,778,745,33,92,87,5,3043,2592,451,202650,176950,25700,46916,39450,7466,10014,8800,1214
103學年,建築及都市規劃學門,15032,8017,7015,165,123,42,131,79,52,-,-,-,107,53,54,11977,6273,5704,2381,1300,1081,271,189,82
103學年,農業科學學門,25784,12691,13093,241,113,128,195,111,84,-,-,-,1,1,-,20979,10073,10906,3588,1899,1689,780,494,286
103學年,獸醫學門,1875,963,912,-,-,-,-,-,-,-,-,-,-,-,-,1426,706,720,322,176,146,127,81,46
103學年,醫藥衛生學門,124190,35015,89175,43782,5467,38315,1212,759,453,68,33,35,14278,1311,12967,54349,23162,31187,6975,2336,4639,3526,1947,1579
103學年,社會服務學門,31683,4743,26940,3396,210,3186,1362,152,1210,-,-,-,3410,373,3037,21448,3583,17865,1966,390,1576,101,35,66
103學年,民生學門,158163,63457,94706,14788,3993,10795,2918,1270,1648,10,1,9,4043,1324,2719,130898,54391,76507,5362,2385,2977,144,93,51
103學年,運輸服務學門,9468,4845,4623,406,260,146,101,84,17,167,143,24,234,109,125,7524,3651,3873,947,530,417,89,68,21
103學年,環境保護學門,1875,1129,746,-,-,-,-,-,-,-,-,-,-,-,-,1480,923,557,353,182,171,42,24,18
103學年,軍警國防安全學門,791,725,66,-,-,-,-,-,-,-,-,-,-,-,-,755,692,63,36,33,3,-,-,-
103學年,其他學門,1469,733,736,-,-,-,-,-,-,-,-,-,-,-,-,1309,681,628,137,41,96,23,11,12
102學年,總計,1345973,673876,672097,90398,21900,68498,11261,5528,5733,440,335,105,38583,10954,27629,996511,512871,483640,177305,100398,76907,31475,21890,9585
102學年,教育學門,38704,13165,25539,-,-,-,-,-,-,-,-,-,47,5,42,21339,7215,14124,14684,4653,10031,2634,1292,1342
102學年,藝術學門,28836,8610,20226,2363,675,1688,11,7,4,17,9,8,705,108,597,18921,5747,13174,6442,1898,4544,377,166,211
102學年,人文學門,113426,32647,80779,7219,1302,5917,49,21,28,-,-,-,1790,400,1390,90098,25731,64367,11930,4064,7866,2340,1129,1211
102學年,設計學門,64422,25554,38868,2669,1226,1443,224,138,86,10,5,5,1000,368,632,56084,21570,34514,3966,1978,1988,469,269,200
102學年,社會及行為科學學門,48507,20886,27621,-,-,-,-,-,-,-,-,-,21,4,17,33960,14041,19919,12833,5785,7048,1693,1056,637
102學年,傳播學門,26086,9536,16550,-,-,-,-,-,-,-,-,-,156,59,97,23041,8393,14648,2794,1045,1749,95,39,56
102學年,商業及管理學門,234781,95687,139094,7224,1860,5364,2258,1174,1084,83,47,36,6878,2618,4260,185223,72940,112283,30250,15318,14932,2865,1730,1135
102學年,法律學門,20019,9708,10311,-,-,-,-,-,-,-,-,-,275,161,114,13778,6203,7575,5667,3130,2537,299,214,85
102學年,生命科學學門,21604,12165,9439,34,22,12,33,1,32,-,-,-,183,54,129,15059,8397,6662,4274,2369,1905,2021,1322,699
102學年,自然科學學門,23053,17095,5958,-,-,-,-,-,-,-,-,-,-,-,-,15890,11781,4109,5158,3716,1442,2005,1598,407
102學年,數學及統計學門,15201,10250,4951,-,-,-,-,-,-,-,-,-,-,-,-,12863,8637,4226,2065,1389,676,273,224,49
102學年,電算機學門,72551,48614,23937,4035,2405,1630,929,482,447,-,-,-,1606,1014,592,59780,40371,19409,5745,4002,1743,456,340,116
102學年,工程學門,275963,240586,35377,5133,4724,409,995,949,46,137,123,14,3401,2908,493,206622,180974,25648,48863,41364,7499,10812,9544,1268
102學年,建築及都市規劃學門,14835,7897,6938,181,135,46,133,82,51,-,-,-,113,62,51,11618,6051,5567,2520,1381,1139,270,186,84
102學年,農業科學學門,26124,12893,13231,208,95,113,175,101,74,-,-,-,-,-,-,21213,10216,10997,3717,1960,1757,811,521,290
102學年,獸醫學門,1867,975,892,-,-,-,-,-,-,-,-,-,-,-,-,1396,686,710,340,200,140,131,89,42
102學年,醫藥衛生學門,123151,34320,88831,43669,5348,38321,990,579,411,69,41,28,14655,1253,13402,52938,22672,30266,7275,2464,4811,3555,1963,1592
102學年,社會服務學門,31477,4501,26976,3223,178,3045,1460,173,1287,-,-,-,3282,285,2997,21493,3468,18025,1920,364,1556,99,33,66
102學年,民生學門,151873,61291,90582,14080,3701,10379,3921,1744,2177,3,1,2,4185,1503,2682,124251,51842,72409,5317,2428,2889,116,72,44
102學年,運輸服務學門,9110,4721,4389,360,229,131,83,77,6,121,109,12,286,152,134,7193,3504,3689,968,579,389,99,71,28
102學年,環境保護學門,2049,1282,767,-,-,-,-,-,-,-,-,-,-,-,-,1611,1026,585,398,232,166,40,24,16
102學年,軍警國防安全學門,742,673,69,-,-,-,-,-,-,-,-,-,-,-,-,705,640,65,37,33,4,-,-,-
102學年,其他學門,1592,820,772,-,-,-,-,-,-,-,-,-,-,-,-,1435,766,669,142,46,96,15,8,7
101學年,總計,1355290,683446,671844,89060,21701,67359,12364,6088,6276,409,272,137,42179,12391,29788,995453,515852,479601,183094,104219,78875,32731,22923,9808
101學年,教育學門,39682,13727,25955,-,-,-,-,-,-,-,-,-,69,4,65,21487,7299,14188,15471,5115,10356,2655,1309,1346
101學年,藝術學門,28240,8213,20027,2362,654,1708,19,10,9,18,5,13,719,76,643,18199,5441,12758,6573,1878,4695,350,149,201
101學年,人文學門,114857,32552,82305,7348,1302,6046,79,27,52,-,-,-,2202,492,1710,90010,25242,64768,12846,4337,8509,2372,1152,1220
101學年,設計學門,59902,23483,36419,2225,974,1251,270,167,103,24,11,13,969,344,625,51987,19734,32253,3963,1979,1984,464,274,190
101學年,社會及行為科學學門,48907,21164,27743,-,-,-,-,-,-,-,-,-,22,12,10,33899,14062,19837,13211,5991,7220,1775,1099,676
101學年,傳播學門,26467,9696,16771,-,-,-,-,-,-,-,-,-,196,91,105,23199,8486,14713,2974,1073,1901,98,46,52
101學年,商業及管理學門,238671,97192,141479,7499,1984,5515,2073,1083,990,121,69,52,7324,2745,4579,188375,74107,114268,30468,15509,14959,2811,1695,1116
101學年,法律學門,20174,9923,10251,-,-,-,-,-,-,1,-,1,232,132,100,14005,6417,7588,5651,3165,2486,285,209,76
101學年,生命科學學門,22431,12669,9762,34,22,12,42,1,41,-,-,-,253,77,176,15430,8727,6703,4544,2462,2082,2128,1380,748
101學年,自然科學學門,23822,17785,6037,-,-,-,-,-,-,-,-,-,-,-,-,16356,12249,4107,5332,3832,1500,2134,1704,430
