學年別,縣市別,高級中等學校總計計,高級中等學校總計男,高級中等學校總計女,高級中等學校國立計,高級中等學校國立男,高級中等學校國立女,高級中等學校直轄市立計,高級中等學校直轄市立男,高級中等學校直轄市立女,高級中等學校縣市立計,高級中等學校縣市立男,高級中等學校縣市立女,高級中等學校私立計,高級中等學校私立男,高級中等學校私立女,高級中學總計計,高級中學總計男,高級中學總計女,高級中學國立計,高級中學國立男,高級中學國立女,高級中學直轄市立計,高級中學直轄市立男,高級中學直轄市立女,高級中學縣市立計,高級中學縣市立男,高級中學縣市立女,高級中學私立計,高級中學私立男,高級中學私立女,職業學校總計計,職業學校總計男,職業學校總計女,職業學校國立計,職業學校國立男,職業學校國立女,職業學校直轄市立計,職業學校直轄市立男,職業學校直轄市立女,職業學校縣市立計,職業學校縣市立男,職業學校縣市立女,職業學校私立計,職業學校私立男,職業學校私立女
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,340,252,88,87,76,11,73,46,27,34,26,8,146,104,42,155,138,17,79,72,7,13,11,2,-,-,-,63,55,8
101學年,新北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,23,17,8,5,3,15,7,8,-,-,-,17,11,6,16,15,1,4,3,1,1,1,-,-,-,-,11,11,-
101學年,臺北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,28,22,2,2,-,26,11,15,-,-,-,22,15,7,17,14,3,-,-,-,7,6,1,-,-,-,10,8,2
101學年,臺中市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,34,5,9,9,-,9,9,-,-,-,-,21,16,5,9,9,-,8,8,-,-,-,-,-,-,-,1,1,-
101學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,26,7,12,9,3,4,3,1,-,-,-,17,14,3,16,16,-,10,10,-,-,-,-,-,-,-,6,6,-
101學年,高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,26,8,6,5,1,19,16,3,-,-,-,9,5,4,18,16,2,3,2,1,5,4,1,-,-,-,10,10,-
101學年,宜蘭縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,1,3,3,-,-,-,-,1,1,-,2,1,1,5,4,1,5,4,1,-,-,-,-,-,-,-,-,-
101學年,桃園縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,20,6,6,4,2,-,-,-,7,5,2,13,11,2,7,7,-,4,4,-,-,-,-,-,-,-,3,3,-
101學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,7,1,3,3,-,-,-,-,1,1,-,4,3,1,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-
101學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,4,4,-,-,-,-,2,2,-,4,4,-,7,6,1,3,3,-,-,-,-,-,-,-,4,3,1
101學年,彰化縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,10,2,5,5,-,-,-,-,4,3,1,3,2,1,11,8,3,9,7,2,-,-,-,-,-,-,2,1,1
101學年,南投縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,7,2,4,4,-,-,-,-,1,1,-,4,2,2,6,6,-,5,5,-,-,-,-,-,-,-,1,1,-
101學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,11,2,3,3,-,-,-,-,2,1,1,8,7,1,7,6,1,5,5,-,-,-,-,-,-,-,2,1,1
101學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,2,2,-,-,-,-,2,2,-,2,2,-,4,3,1,1,1,-,-,-,-,-,-,-,3,2,1
101學年,屏東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,10,2,4,4,-,-,-,-,4,3,1,4,3,1,8,7,1,5,5,-,-,-,-,-,-,-,3,2,1
101學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,3,3,-,-,-,-,1,1,-,1,1,-,4,4,-,3,3,-,-,-,-,-,-,-,1,1,-
101學年,花蓮縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,2,3,2,1,-,-,-,2,2,-,3,2,1,5,4,1,4,3,1,-,-,-,-,-,-,1,1,-
101學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-
101學年,基隆市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,7,1,2,2,-,-,-,-,4,4,-,2,1,1,4,4,-,2,2,-,-,-,-,-,-,-,2,2,-
101學年,新竹市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,4,6,3,2,1,-,-,-,3,-,3,4,2,2,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-
101學年,嘉義市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,4,4,2,2,-,-,-,-,-,-,-,6,2,4,6,5,1,4,4,-,-,-,-,-,-,-,2,1,1
101學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,336,262,74,87,77,10,72,49,23,32,25,7,145,111,34,155,138,17,79,74,5,13,11,2,-,-,-,63,53,10
100學年,新北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,25,14,8,5,3,14,8,6,-,-,-,17,12,5,16,15,1,4,3,1,1,1,-,-,-,-,11,11,-
100學年,臺北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,29,21,2,2,-,26,12,14,-,-,-,22,15,7,17,14,3,-,-,-,7,6,1,-,-,-,10,8,2
100學年,臺中市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,34,4,9,9,-,9,9,-,-,-,-,20,16,4,9,9,-,8,8,-,-,-,-,-,-,-,1,1,-
100學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,29,4,12,11,1,4,3,1,-,-,-,17,15,2,16,16,-,10,10,-,-,-,-,-,-,-,6,6,-
100學年,高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,29,5,6,5,1,19,17,2,-,-,-,9,7,2,18,15,3,3,3,-,5,4,1,-,-,-,10,8,2
100學年,宜蘭縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,3,3,-,-,-,-,1,1,-,2,2,-,5,4,1,5,4,1,-,-,-,-,-,-,-,-,-
100學年,桃園縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,20,5,6,4,2,-,-,-,6,5,1,13,11,2,7,6,1,4,4,-,-,-,-,-,-,-,3,2,1
100學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,7,1,3,3,-,-,-,-,1,1,-,4,3,1,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-
100學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,4,4,-,-,-,-,2,2,-,4,4,-,7,6,1,3,3,-,-,-,-,-,-,-,4,3,1
100學年,彰化縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,11,1,5,5,-,-,-,-,4,3,1,3,3,-,11,8,3,9,7,2,-,-,-,-,-,-,2,1,1
100學年,南投縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,8,1,4,4,-,-,-,-,1,1,-,4,3,1,6,6,-,5,5,-,-,-,-,-,-,-,1,1,-
100學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,12,1,3,3,-,-,-,-,2,1,1,8,8,-,7,6,1,5,5,-,-,-,-,-,-,-,2,1,1
100學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,2,2,-,-,-,-,2,2,-,2,2,-,4,4,-,1,1,-,-,-,-,-,-,-,3,3,-
100學年,屏東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,9,3,4,4,-,-,-,-,4,3,1,4,2,2,8,7,1,5,5,-,-,-,-,-,-,-,3,2,1
100學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,3,3,-,-,-,-,1,1,-,1,1,-,4,4,-,3,3,-,-,-,-,-,-,-,1,1,-
100學年,花蓮縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,5,3,3,1,2,-,-,-,2,2,-,3,2,1,5,4,1,4,3,1,-,-,-,-,-,-,1,1,-
100學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-
100學年,基隆市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,1,2,2,-,-,-,-,3,3,-,2,1,1,4,4,-,2,2,-,-,-,-,-,-,-,2,2,-
100學年,新竹市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,4,6,3,2,1,-,-,-,3,-,3,4,2,2,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-
100學年,嘉義市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,4,4,2,2,-,-,-,-,-,-,-,6,2,4,6,5,1,4,4,-,-,-,-,-,-,-,2,1,1
100學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,335,264,71,87,79,8,39,27,12,64,49,15,145,109,36,156,139,17,79,72,7,12,10,2,1,1,-,64,56,8
99學年,臺北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,32,18,2,2,-,26,15,11,-,-,-,22,15,7,17,14,3,-,-,-,7,6,1,-,-,-,10,8,2
99學年,高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,18,2,2,2,-,13,12,1,-,-,-,5,4,1,10,8,2,-,-,-,5,4,1,-,-,-,5,4,1
99學年,臺北縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,25,14,8,5,3,-,-,-,14,9,5,17,11,6,16,15,1,4,3,1,-,-,-,1,1,-,11,11,-
99學年,宜蘭縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,3,3,-,-,-,-,1,1,-,2,2,-,5,4,1,5,4,1,-,-,-,-,-,-,-,-,-
99學年,桃園縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,20,5,6,5,1,-,-,-,6,4,2,13,11,2,7,6,1,4,3,1,-,-,-,-,-,-,3,3,-
99學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,7,1,3,3,-,-,-,-,1,1,-,4,3,1,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-
99學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,4,4,-,-,-,-,2,2,-,4,4,-,7,6,1,3,3,-,-,-,-,-,-,-,4,3,1
99學年,臺中縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,22,1,5,5,-,-,-,-,5,5,-,13,12,1,5,5,-,5,5,-,-,-,-,-,-,-,-,-,-
99學年,彰化縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,10,1,5,5,-,-,-,-,3,2,1,3,3,-,11,8,3,9,7,2,-,-,-,-,-,-,2,1,1
99學年,南投縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,8,1,4,4,-,-,-,-,1,1,-,4,3,1,6,6,-,5,5,-,-,-,-,-,-,-,1,1,-
99學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,-,3,3,-,-,-,-,2,2,-,8,8,-,7,6,1,5,5,-,-,-,-,-,-,-,2,1,1
99學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,2,2,-,-,-,-,2,2,-,2,2,-,4,4,-,1,1,-,-,-,-,-,-,-,3,3,-
99學年,臺南縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,-,8,8,-,-,-,-,2,2,-,8,8,-,11,10,1,8,7,1,-,-,-,-,-,-,3,3,-
99學年,高雄縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,12,2,4,4,-,-,-,-,6,5,1,4,3,1,8,8,-,3,3,-,-,-,-,-,-,-,5,5,-
99學年,屏東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,9,3,4,4,-,-,-,-,4,3,1,4,2,2,8,6,2,5,5,-,-,-,-,-,-,-,3,1,2
99學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,3,3,-,-,-,-,1,1,-,1,1,-,4,4,-,3,3,-,-,-,-,-,-,-,1,1,-
99學年,花蓮縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,4,4,3,1,2,-,-,-,2,1,1,3,2,1,6,5,1,4,3,1,-,-,-,-,-,-,2,2,-
99學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-
99學年,基隆市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,1,2,2,-,-,-,-,3,3,-,2,1,1,4,4,-,2,2,-,-,-,-,-,-,-,2,2,-
99學年,新竹市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,4,6,3,2,1,-,-,-,3,-,3,4,2,2,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-
99學年,臺中市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,11,4,4,4,-,-,-,-,4,4,-,7,3,4,4,4,-,3,3,-,-,-,-,-,-,-,1,1,-
99學年,嘉義市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,4,4,2,2,-,-,-,-,-,-,-,6,2,4,6,6,-,4,4,-,-,-,-,-,-,-,2,2,-
99學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,11,4,4,3,1,-,-,-,2,1,1,9,7,2,5,5,-,2,2,-,-,-,-,-,-,-,3,3,-
99學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,330,263,67,86,78,8,39,26,13,60,45,15,145,114,31,156,139,17,79,73,6,12,10,2,1,1,-,64,55,9
98學年,臺北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,31,19,2,2,-,26,14,12,-,-,-,22,15,7,17,13,4,-,-,-,7,6,1,-,-,-,10,7,3
98學年,高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,18,2,2,2,-,13,12,1,-,-,-,5,4,1,10,8,2,-,-,-,5,4,1,-,-,-,5,4,1
98學年,臺北縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,23,16,8,5,3,-,-,-,14,8,6,17,10,7,16,15,1,4,3,1,-,-,-,1,1,-,11,11,-
98學年,宜蘭縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,3,3,-,-,-,-,1,1,-,2,2,-,5,4,1,5,4,1,-,-,-,-,-,-,-,-,-
98學年,桃園縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,21,3,6,6,-,-,-,-,5,3,2,13,12,1,7,6,1,4,3,1,-,-,-,-,-,-,3,3,-
98學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,-,3,3,-,-,-,-,1,1,-,4,4,-,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-
98學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,4,4,-,-,-,-,2,2,-,4,4,-,7,6,1,3,3,-,-,-,-,-,-,-,4,3,1
98學年,臺中縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,20,2,4,4,-,-,-,-,5,5,-,13,11,2,5,5,-,5,5,-,-,-,-,-,-,-,-,-,-
98學年,彰化縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,9,1,5,5,-,-,-,-,2,1,1,3,3,-,11,8,3,9,7,2,-,-,-,-,-,-,2,1,1
98學年,南投縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,-,4,4,-,-,-,-,1,1,-,4,4,-,6,6,-,5,5,-,-,-,-,-,-,-,1,1,-
98學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,12,1,3,3,-,-,-,-,2,2,-,8,7,1,7,6,1,5,5,-,-,-,-,-,-,-,2,1,1
98學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,2,2,-,-,-,-,2,2,-,2,2,-,4,4,-,1,1,-,-,-,-,-,-,-,3,3,-
98學年,臺南縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,17,1,8,7,1,-,-,-,2,2,-,8,8,-,11,10,1,8,7,1,-,-,-,-,-,-,3,3,-
98學年,高雄縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,12,2,4,4,-,-,-,-,6,5,1,4,3,1,8,8,-,3,3,-,-,-,-,-,-,-,5,5,-
98學年,屏東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,9,2,4,4,-,-,-,-,3,2,1,4,3,1,8,6,2,5,5,-,-,-,-,-,-,-,3,1,2
98學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,1,3,3,-,-,-,-,1,-,1,1,1,-,4,4,-,3,3,-,-,-,-,-,-,-,1,1,-
98學年,花蓮縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,5,2,3,2,1,-,-,-,1,1,-,3,2,1,6,6,-,4,4,-,-,-,-,-,-,-,2,2,-
98學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-
98學年,基隆市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,1,2,2,-,-,-,-,3,3,-,2,1,1,4,4,-,2,2,-,-,-,-,-,-,-,2,2,-
98學年,新竹市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,4,6,3,2,1,-,-,-,3,-,3,4,2,2,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-
98學年,臺中市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,12,3,4,3,1,-,-,-,4,4,-,7,5,2,4,4,-,3,3,-,-,-,-,-,-,-,1,1,-
98學年,嘉義市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,2,2,2,-,-,-,-,-,-,-,6,4,2,6,6,-,4,4,-,-,-,-,-,-,-,2,2,-
98學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,12,3,4,3,1,-,-,-,2,2,-,9,7,2,5,5,-,2,2,-,-,-,-,-,-,-,3,3,-
98學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,321,259,62,86,75,11,39,28,11,55,45,10,141,111,30,156,139,17,79,75,4,12,10,2,1,1,-,64,53,11
97學年,臺北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,34,16,2,2,-,26,17,9,-,-,-,22,15,7,17,13,4,-,-,-,7,6,1,-,-,-,10,7,3
97學年,高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,18,2,2,2,-,13,11,2,-,-,-,5,5,-,10,8,2,-,-,-,5,4,1,-,-,-,5,4,1
97學年,臺北縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,25,12,8,6,2,-,-,-,13,10,3,16,9,7,16,15,1,4,4,-,-,-,-,1,1,-,11,10,1
97學年,宜蘭縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,3,3,-,-,-,-,1,1,-,2,2,-,5,5,-,5,5,-,-,-,-,-,-,-,-,-,-
